grouping,population,events,components,delta_event_equal,delta_component_mean,components_positive,events_positive,signflip_p_components,signflip_method,min_attainable_p,component_bootstrap_p2.5,component_bootstrap_p97.5,seeds_event_equal_delta_positive,NET_path_mse_event_equal,ASYM_path_mse_event_equal,PERSISTENCE_path_mse_event_equal,mean_event_relative_gain_asym_vs_net,ratio_of_event_means_gain,delta_mse_1h_event_equal,delta_mse_6h_event_equal,delta_mse_24h_event_equal,decision,delta_rmse_event_equal,delta_rmse_component_mean,components_positive_rmse,signflip_p_components_rmse_secondary,NET_path_rmse_event_equal,ASYM_path_rmse_event_equal,PERSISTENCE_path_rmse_event_equal,rmse_direction_agrees_with_mse
type_group:winter,affected,7,6,6.032231972362374e-05,3.027298193078947e-05,5,6,0.75,exact,0.03125,-0.0001442655077136335,0.00018523332433376176,2,0.0018819796576569467,0.0018216573379333228,0.0014206071673717045,0.1851752790639483,0.03205258860168809,0.00010619468563455218,0.00020721224352907998,-7.069440751651398e-05,undecided,0.002165873237715816,0.001867757470834984,5,0.09375,0.033857092501550626,0.031691219263834815,0.03039083472026994,True
type_group:wind_tropical,affected,7,7,-0.0015970013753136766,-0.0015970013753136766,2,2,0.0625,exact,0.015625,-0.0030609203729747465,-0.0003585469499445411,0,0.003345411356485007,0.004942412731798684,0.004594272631210073,-0.24928167844575502,-0.47737070426867695,-4.967880952827403e-05,-0.0010011559567999779,-0.0022582333908381033,undecided,-0.00904963780623931,-0.00904963780623931,2,0.09375,0.053465913775698926,0.06251555158193824,0.061908736715168625,True
type_group:convective_flood,affected,12,12,5.295437630339775e-05,5.295437630339775e-05,8,8,0.16845703125,exact,0.00048828125,-8.29865242405705e-06,0.00012233197960404113,5,0.0012165511462565667,0.001163596769953169,0.0013840183141963821,0.06912939841110644,0.043528277842113716,5.5620941245102306e-05,0.00010644425838224652,1.0065492837003918e-05,undecided,0.001016331166787945,0.001016331166787945,8,0.0908203125,0.032851428427315484,0.031835097260527544,0.03508949801941416,True
type:convective,affected,11,11,3.2285420083408434e-05,3.2285420083408434e-05,7,7,0.3369140625,exact,0.0009765625,-2.2359909781655025e-05,9.359172395482623e-05,4,0.0011601446481884594,0.0011278592281050513,0.001353229201691445,0.06154199120209011,0.027828788534103137,4.5218999537005654e-05,4.436733854116883e-05,6.476821549853487e-05,undecided,0.000800665539768563,0.000800665539768563,7,0.181640625,0.03194328506750748,0.031142619527738922,0.03450623384971281,True
type:flood,affected,1,1,0.0002803128947232801,0.0002803128947232801,1,1,1.0,exact,1.0,0.0002803128947232801,0.0002803128947232801,5,0.0018370226250057468,0.0015567097302824663,0.0017226985517506924,0.152590877710286,0.152590877710286,0.0001700423000341655,0.000789290376634101,-0.0005916644564398367,undecided,0.0033886530640011487,0.0033886530640011487,1,1.0,0.04284100538520349,0.03945235232120233,0.041505403886129,True
type:tropical,affected,3,3,-0.0018260088058288184,-0.0018260088058288184,0,0,0.25,exact,0.25,-0.002226422213049627,-0.0010862799117353939,0,0.004127300449949008,0.005953309255777826,0.005714254518496817,-0.4329126361762247,-0.4424220693338131,-5.8047997695365575e-05,-0.001479925356630744,-0.0021774655346130756,undecided,-0.012560718280345022,-0.012560718280345022,0,0.25,0.06408070743863804,0.07664142571898307,0.075471824113144,True
type:wind,affected,4,4,-0.0014252458024273202,-0.0014252458024273202,2,2,0.5,exact,0.125,-0.0042223244118328946,6.103331213445666e-05,0,0.0027589945363870054,0.004184240338814326,0.003754286215745016,-0.11155846014790276,-0.516581596531078,-4.340191840295537e-05,-0.0006420789069269032,-0.0023188092830068742,undecided,-0.00641632745066003,-0.00641632745066003,2,0.75,0.0455048185284946,0.05192114597915462,0.051736421166687085,True
type:winter,affected,7,6,6.032231972362374e-05,3.027298193078947e-05,5,6,0.75,exact,0.03125,-0.00014962370987121497,0.00018113566869070992,2,0.0018819796576569467,0.0018216573379333228,0.0014206071673717045,0.1851752790639483,0.03205258860168809,0.00010619468563455218,0.00020721224352907998,-7.069440751651398e-05,undecided,0.002165873237715816,0.001867757470834984,5,0.09375,0.033857092501550626,0.031691219263834815,0.03039083472026994,True
all_events,unaffected,26,23,0.00026237588038083374,0.00024976321630757966,23,26,0.0,monte_carlo,,0.00016038204537327023,0.00038634584739655035,5,0.00034196915940348435,7.959327902265064e-05,1.0563143135577975e-06,0.8179180139718358,0.7672501252408562,4.659340951764498e-05,0.0001174163054599805,0.0004819482524527004,supports ASYM,0.01078777599431814,0.010260533224814067,23,0.0,0.01661664716397692,0.005828871169658777,0.0010009095259435343,True
type_group:winter,unaffected,7,6,0.0003030378346793298,0.00023587358832039286,6,7,0.03125,exact,0.03125,0.00010880070101525949,0.0005244759964892476,5,0.00031883561314741306,1.57977784680832e-05,7.218055343794324e-07,0.9642275143138909,0.95045165026537,6.058783891909811e-05,0.00011760806764061608,0.0005853900720416181,supports ASYM,0.013426565955920126,0.012052506893396148,6,0.03125,0.015844753378603388,0.0024181874226832612,0.0008012306027709683,True
type_group:wind_tropical,unaffected,7,7,0.00042298677143344873,0.00042298677143344873,7,7,0.015625,exact,0.015625,0.000220400070091019,0.0007477662761017045,5,0.0006144851099104045,0.00019149833847695576,1.3286217111329604e-06,0.8110362139712682,0.6883596764372738,4.093348253993898e-05,0.0001878870050861131,0.0007706994924691112,supports ASYM,0.013854063938530637,0.013854063938530637,7,0.015625,0.02264181812005279,0.008787754181522155,0.0011373874885532713,True
type_group:convective_flood,unaffected,12,12,0.00014496672059268555,0.00014496672059268555,12,12,0.00048828125,exact,0.00048828125,0.00011009324146100258,0.0001817967907024876,5,0.0001964960902571559,5.152936966447034e-05,1.0925984528263321e-06,0.736585188772635,0.7377588042742557,4.17316164371258e-05,7.61965360726991e-05,0.0002531689676829255,supports ASYM,0.0074598138825930265,0.0074598138825930265,12,0.00048828125,0.013552235481067217,0.00609242159847419,0.0010377767529385178,True
type:convective,unaffected,11,11,0.00015254117497141644,0.00015254117497141644,11,11,0.0009765625,exact,0.0009765625,0.00011703704082615246,0.00019162474987407103,5,0.0002059016504676969,5.3360475496280436e-05,1.1283494393957365e-06,0.7433083993556573,0.7408448384212833,3.461895490620058e-05,7.58580060285336e-05,0.0002749122426264041,supports ASYM,0.007763083030796897,0.007763083030796897,11,0.0009765625,0.013921296252730208,0.006158213221933311,0.0010560960874364032,True
