event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat,NET,ASYM,n_train_events,delta_cv,lam,net_better,w
2020-08-04,132,2020-08-07 12:00:00,65,OK,0.0228496760376589,0.0634615384615384,0.0085053131669904,0.095580743400952,-4.267254673775971,1.978975525394262e-06,1.660129270821971e-06,0.0006761317705702,0.0233834950564299,7.479325511273983e-06,0.0003960957889648,7.179088378449722e-06,0.000573939600748,0.0005576721776268433,0.00038670268882919393,17,-0.0010862799117353,0.21264345982501984,0.0,0.047619047619047616
2020-08-04,138,2020-08-07 18:00:00,65,OK,0.0129071094899607,0.0551282051282051,0.0035312651149246,0.0494296611492265,7.1205089400518675,3.635269636191486e-07,2.615053524976017e-07,0.0001236653173319,0.012733917253953,3.8020969821942186e-06,9.780286491362554e-05,6.306667820025959e-06,0.0002314827001559,0.00020571409881439885,0.00016642015856715365,17,-0.0010862799117353,0.46315924632050154,0.0,0.047619047619047616
2020-08-04,144,2020-08-08 00:00:00,65,OK,0.0126361678962186,0.0397435897435897,2.988107244786557e-20,0.0392299255919571,-3.665080359221797,3.1411918517478754e-07,2.6883334953473865e-07,9.430126264358592e-05,0.0118784807003333,1.0994060342540649e-06,0.0003852824766232,-3.1169222057617966e-06,0.0003638219353406,0.00014771172521468753,0.00016281447223835183,17,-0.0010862799117353,0.0,1.0,0.047619047619047616
2020-10-29,24,2020-10-28 00:00:00,73,OK,2.4863272265776292e-05,0.1358447488584474,0.0012984778724771,0.5844625553837415,-19.720781041815968,7.124522190377164e-08,7.115384904902727e-08,6.880928801514397e-06,0.0012829915679959,7.580981441652611e-08,8.49307558382057e-06,2.4669776114285103e-08,9.742277351165844e-06,0.0001386865605132182,8.163505677979643e-06,15,-0.0022264222130496,0.037983587243078605,0.0,0.05
2020-10-29,30,2020-10-28 06:00:00,73,OK,6.095313512035741e-06,0.1621004566210045,0.0029370493691111,0.9999999999999408,-19.99999999999946,3.296712883130361e-07,3.287586644411739e-07,2.2649179934947512e-05,0.0018834608243295,1.030533267811443e-06,5.1794251867436825e-05,6.987500488806952e-07,7.239228590956911e-05,0.00019276110747946658,2.3117986601881e-05,15,-0.0022264222130496,0.1447840830209918,0.0,0.05
2020-10-29,36,2020-10-28 12:00:00,74,OK,0.0008161451825844,0.2578828828828829,0.0403788115732926,0.4886234721736969,19.999999999999897,0.0003217155619856,0.0001215456877292,0.003145247347088,0.0922590311081693,0.0068585612608947,0.0278523824056313,0.0064180256917686,0.0278089500851499,0.0033289408495820374,0.0034793711862193,15,-0.0022264222130496,3.4618489760222126,1.0,0.05
2020-10-29,42,2020-10-28 18:00:00,66,OK,0.0002808418315844,0.4141414141414141,0.0327592498966893,0.1789371999119423,1.875470084852312,0.0003147037085717,0.0002745922484922,0.0115277089346731,0.1209285217216193,0.0019581611073514,0.0070862758319128,0.0015417041323828,0.0061671180842773,0.01436595071572828,0.01363851393745281,15,-0.0022264222130496,3.7498166355366602,0.0,0.05
2020-10-29,48,2020-10-29 00:00:00,66,OK,4.830150975510768e-05,0.4501262626262626,0.0324714880662404,0.1713641833822857,-1.3307235911751385,0.0002238914302364,0.0002004787975435,0.0170863431669026,0.1209285217216193,0.0007462340078374,0.0130929618777051,0.0007100868422612,0.0130371442397662,0.01984146431395718,0.018140885746067592,15,-0.0022264222130496,0.8169966089221555,0.0,0.05
2020-10-29,54,2020-10-29 06:00:00,66,OK,0.0020836923940263,0.5214646464646465,0.0370667842022738,0.1972203902860017,-1.6239762882423976,0.0001730338654432,0.0001457538933708,0.0213728337101729,0.1209285217216193,0.0005465606985718,0.0129645853642055,0.0004364800969639,0.0131109218548297,0.02360037785709183,0.024506272744940372,15,-0.0022264222130496,0.4993700311047688,1.0,0.05
2020-10-29,60,2020-10-29 12:00:00,106,OK,0.1231010040650707,0.3722484276729559,0.0377133030624581,0.1035149474144838,-1.0442185799153871,0.0001415835820354,5.90603848849785e-05,0.0284413277796156,0.1763019339905758,0.0026605356475981,0.0073614113632437,0.0028642892881544,0.0082928316266745,0.022721160302074012,0.03337488125462325,15,-0.0022264222130496,5.18090095837929,1.0,0.05
