event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat
2019-02-24,36,2019-02-23 12:00:00,159,OK,6.211091466487575e-05,0.36215932914046123,0.0011477926614162212,0.13795711372276667,19.999999999999456,4.0368512324431715e-07,3.015559970770581e-07,0.00012269757097153173,0.005155561771748741,4.582745548966315e-06,0.0004367152255939686,4.981878986269716e-07,0.00040108917795770183
2019-02-24,42,2019-02-23 18:00:00,157,OK,0.00038315029206289895,0.5289278131634819,0.0010840033347601686,1.858353104499129e-13,19.999999999999996,1.2799466949599459e-05,2.9743650104115837e-06,0.0004909462237594333,0.029008948223817464,8.144564364325483e-05,0.0012985815556218955,6.300021816373189e-05,0.00128736268039149
2019-02-24,48,2019-02-24 00:00:00,156,OK,0.0009506208339676913,0.7411858974358975,0.002347871864084918,3.087059621503214e-15,3.7568769092886733,8.489029812793657e-05,3.4834199768323376e-05,0.003286872928366933,0.05263153557094837,3.127962040861831e-06,0.0032343326247990037,-1.7517256826808947e-05,0.0032247151066398918
2019-02-24,54,2019-02-24 06:00:00,277,OK,0.0015922387839915199,0.8426594464500602,0.0026598462253237553,7.451281280250724e-17,0.08512028525574297,6.972655940322606e-05,6.961312086110781e-05,0.00423058552852834,0.05289021486538986,0.001052608963228497,0.00994027336916522,0.0010015274653950908,0.009794143451222233
2019-02-24,60,2019-02-24 12:00:00,273,OK,0.00397959346190718,0.8731684981684982,0.006824871567503865,0.10706517263932813,-1.7759392909131317,4.0598464086769556e-05,3.4638247736341454e-05,0.005671645311120919,0.053597649526471544,0.0006816793327075316,0.008071733617369866,0.0005782989055910685,0.007835463066790052
2019-02-24,66,2019-02-24 18:00:00,273,OK,0.02346854281910851,0.8403540903540904,0.016418800526442043,0.28117558325487474,-3.954376180379681,1.072673722356043e-05,9.328766045792063e-06,0.0061242525167667415,0.05359352219840055,3.2139854225779046e-05,0.0028591265076178,3.467271560590595e-05,0.0032131591728673933
2019-02-24,72,2019-02-25 00:00:00,273,OK,0.053593522198400544,0.6923076923076924,0.018151085718048056,0.3226662605349785,-11.228082301464463,1.3730853404003996e-05,1.1467357109676901e-05,0.0042003420842789164,0.04846008170516901,9.340654886532248e-06,0.0037733827054704646,1.7224559188336297e-05,0.003926799647224077
2019-02-24,78,2019-02-25 06:00:00,273,OK,0.050006725323275165,0.48473748473748474,0.013723890001143288,0.23970699108803617,4.5091126722475225,1.383325838359087e-05,5.232952240307604e-06,0.002519721944386919,0.04887302373417557,4.350267182360407e-05,0.00243519562635071,4.517619037867814e-05,0.002203078040700445
2019-02-24,84,2019-02-25 12:00:00,273,OK,0.04802518850577928,0.2858669108669109,0.0029575526093874745,0.10536343484615013,-14.372144534250692,1.2245692483586543e-05,1.4425317384548586e-05,0.0006244925182700358,0.04887302373417557,0.0001251360363924367,0.0009419270691032683,0.00011930403399609559,0.0009419590562914374
2019-02-24,90,2019-02-25 18:00:00,276,OK,0.036997695295838566,0.11216787439613528,7.766308488476635e-20,0.08281664138113898,-3.8435423793859216,1.3597104401641026e-05,3.569277902818375e-06,0.00038513409798659695,0.033451502214394635,0.00010817556997799467,0.0010182532081765268,0.00010699471825689123,0.0010333304380127097
2019-02-24,96,2019-02-26 00:00:00,276,OK,0.01854393984191979,0.028079710144927536,7.75135463269276e-22,0.04520891659072587,-3.598883788686849,4.5191553744927165e-06,3.352560979795346e-06,0.00019308517360845523,0.015514210612067649,1.7074689859296593e-05,0.0002711977696008786,1.4664937460310266e-05,0.00025237584906908923
2019-02-24,102,2019-02-26 06:00:00,277,OK,0.011289472480344823,0.01338748495788207,1.319409004614081e-13,0.032351028517897305,19.999999999999964,3.800537901324198e-06,6.588107110382948e-07,0.00012515623653730672,0.011849301436686418,2.9590334481553887e-05,0.0002509770798329955,2.7480310856505285e-05,0.00024131958997412954
