event,population,model,seed,untrained_path_mse
2024-05-26,all,NET,9205,0.0038324535262395437
2024-05-26,affected,NET,9205,0.004739237330252027
2024-05-26,unaffected,NET,9205,1.754599084764821e-06
2019-02-20,all,ASYM,9201,0.00012932196700337958
2019-02-20,affected,ASYM,9201,0.00023763776590460527
2019-02-20,unaffected,ASYM,9201,6.969558081740183e-07
2019-02-24,all,ASYM,9201,0.0012754659254938074
2019-02-24,affected,ASYM,9201,0.0019501376950943174
2019-02-24,unaffected,ASYM,9201,1.0859162483993317e-06
2020-02-06,all,ASYM,9201,0.0009297155513956918
2020-02-06,affected,ASYM,9201,0.0016706137423954028
2020-02-06,unaffected,ASYM,9201,9.840161988718355e-07
2021-02-15,all,ASYM,9201,0.0031133414087568577
2021-02-15,affected,ASYM,9201,0.006756114141575171
2021-02-15,unaffected,ASYM,9201,6.736631770305477e-07
2022-04-13,all,ASYM,9201,0.0004681318185778363
2022-04-13,affected,ASYM,9201,0.0007105218027250211
2022-04-13,unaffected,ASYM,9201,9.163418883353628e-07
2024-05-26,all,ASYM,9201,0.0037105546905731295
2024-05-26,affected,ASYM,9201,0.004588507518020146
2024-05-26,unaffected,ASYM,9201,1.6519297255300757e-06
2019-02-20,all,ASYM,9202,0.00012932533913810542
2019-02-20,affected,ASYM,9202,0.00023764384356520784
2019-02-20,unaffected,ASYM,9202,6.971151309212851e-07
2019-02-24,all,ASYM,9202,0.001275494673627837
2019-02-24,affected,ASYM,9202,0.001950181762744924
2019-02-24,unaffected,ASYM,9202,1.0857275177837098e-06
2020-02-06,all,ASYM,9202,0.0009298027936242903
2020-02-06,affected,ASYM,9202,0.0016707706131304108
2020-02-06,unaffected,ASYM,9202,9.839776236596217e-07
2021-02-15,all,ASYM,9202,0.003113454129721547
2021-02-15,affected,ASYM,9202,0.0067563586845188475
2021-02-15,unaffected,ASYM,9202,6.737452119131712e-07
2022-04-13,all,ASYM,9202,0.0004681407863287424
2022-04-13,affected,ASYM,9202,0.0007105355428533365
2022-04-13,unaffected,ASYM,9202,9.161107088728435e-07
2024-05-26,all,ASYM,9202,0.0037107086798666257
2024-05-26,affected,ASYM,9202,0.004588697984968853
2024-05-26,unaffected,ASYM,9202,1.6518195368091093e-06
2019-02-20,all,ASYM,9203,0.00012932503143706079
2019-02-20,affected,ASYM,9203,0.00023764323099905913
2019-02-20,unaffected,ASYM,9203,6.971694571877321e-07
2019-02-24,all,ASYM,9203,0.001275493365843865
2019-02-24,affected,ASYM,9203,0.0019501797896235799
2019-02-24,unaffected,ASYM,9203,1.0856764821803001e-06
2020-02-06,all,ASYM,9203,0.0009297444793128048
2020-02-06,affected,ASYM,9203,0.0016706655461331001
2020-02-06,unaffected,ASYM,9203,9.84268791589806e-07
2021-02-15,all,ASYM,9203,0.0031134118106235513
2021-02-15,affected,ASYM,9203,0.0067562667864430525
2021-02-15,unaffected,ASYM,9203,6.737902404707672e-07
2022-04-13,all,ASYM,9203,0.0004681440613031187
2022-04-13,affected,ASYM,9203,0.0007105405568316081
2022-04-13,unaffected,ASYM,9203,9.160336902332033e-07
2024-05-26,all,ASYM,9203,0.0037106575785815824
2024-05-26,affected,ASYM,9203,0.004588634774876571
2024-05-26,unaffected,ASYM,9203,1.6518717843834122e-06
2019-02-20,all,ASYM,9204,0.0001293246134209021
2019-02-20,affected,ASYM,9204,0.00023764233606046894
2019-02-20,unaffected,ASYM,9204,6.97317786416487e-07
2019-02-24,all,ASYM,9204,0.001275488879879768
2019-02-24,affected,ASYM,9204,0.0019501727924948798
2019-02-24,unaffected,ASYM,9204,1.0859338290009485e-06
2020-02-06,all,ASYM,9204,0.0009297378325140353
2020-02-06,affected,ASYM,9204,0.001670653527519768
2020-02-06,unaffected,ASYM,9204,9.843556758636497e-07
2021-02-15,all,ASYM,9204,0.003113411370169317
2021-02-15,affected,ASYM,9204,0.006756265604467516
2021-02-15,unaffected,ASYM,9204,6.739833995876552e-07
2022-04-13,all,ASYM,9204,0.0004681433945627562
2022-04-13,affected,ASYM,9204,0.0007105393860223513
2022-04-13,unaffected,ASYM,9204,9.163385609279888e-07
2024-05-26,all,ASYM,9204,0.003710646272588032
2024-05-26,affected,ASYM,9204,0.004588620758466053
2024-05-26,unaffected,ASYM,9204,1.6520159196552436e-06
2019-02-20,all,ASYM,9205,0.00012932587968777202
2019-02-20,affected,ASYM,9205,0.00023764453558923582
2019-02-20,unaffected,ASYM,9205,6.974758047837057e-07
2019-02-24,all,ASYM,9205,0.0012755043763777194
2019-02-24,affected,ASYM,9205,0.0019501964137243763
2019-02-24,unaffected,ASYM,9205,1.0860836118106855e-06
2020-02-06,all,ASYM,9205,0.0009297383185012966
2020-02-06,affected,ASYM,9205,0.0016706544546297867
2020-02-06,unaffected,ASYM,9205,9.84288706429056e-07
2021-02-15,all,ASYM,9205,0.003113436674432202
2021-02-15,affected,ASYM,9205,0.0067563202732313435
2021-02-15,unaffected,ASYM,9205,6.741963538313563e-07
2022-04-13,all,ASYM,9205,0.0004681488901814726
2022-04-13,affected,ASYM,9205,0.0007105476812169039
2022-04-13,unaffected,ASYM,9205,9.164378957864541e-07
2024-05-26,all,ASYM,9205,0.003710678878408302
2024-05-26,affected,ASYM,9205,0.004588661053103372
2024-05-26,unaffected,ASYM,9205,1.6521404107565407e-06
2019-11-27,all,NET,9201,0.00013042831480194122
2019-11-27,affected,NET,9201,0.00022177011459604886
2019-11-27,unaffected,NET,9201,1.6129561179432428e-06
2021-05-04,all,NET,9201,0.001109578586707848
2021-05-04,affected,NET,9201,0.0015040829861682754
2021-05-04,unaffected,NET,9201,1.420161257209556e-06
2022-01-16,all,NET,9201,0.00020685233296774958
2022-01-16,affected,NET,9201,0.00045736738333389444
2022-01-16,unaffected,NET,9201,1.110185220234834e-06
2022-06-08,all,NET,9201,0.000595510905062422
2022-06-08,affected,NET,9201,0.0009716726640882026
2022-06-08,unaffected,NET,9201,1.2843581956089765e-06
2024-06-26,all,NET,9201,0.0004128627590102817
2024-06-26,affected,NET,9201,0.000583112851700397
2024-06-26,unaffected,NET,9201,1.771071782930298e-06
2019-11-27,all,NET,9202,0.00013022835935322732
2019-11-27,affected,NET,9202,0.0002216104930303932
2019-11-27,unaffected,NET,9202,1.356119552095964e-06
2021-05-04,all,NET,9202,0.001107700778547108
2021-05-04,affected,NET,9202,0.0015016405158349464
2021-05-04,unaffected,NET,9202,1.128482794752745e-06
2022-01-16,all,NET,9202,0.00020653920122153867
2022-01-16,affected,NET,9202,0.000456983033166919
2022-01-16,unaffected,NET,9202,8.555434961837278e-07
2022-06-08,all,NET,9202,0.0005950224763977988
2022-06-08,affected,NET,9202,0.0009710915069832015
2022-06-08,unaffected,NET,9202,9.424135889740981e-07
2024-06-26,all,NET,9202,0.0004119686316692477
2024-06-26,affected,NET,9202,0.0005820017403803233
2024-06-26,unaffected,NET,9202,1.4008813668946842e-06
2019-11-27,all,NET,9203,0.00013010036135103096
2019-11-27,affected,NET,9203,0.00022135707677233997
2019-11-27,unaffected,NET,9203,1.4049934491848818e-06
2021-05-04,all,NET,9203,0.0011088873808072779
2021-05-04,affected,NET,9203,0.0015032286821061152
2021-05-04,unaffected,NET,9203,1.1870962599813433e-06
2022-01-16,all,NET,9203,0.00020651219447324293
2022-01-16,affected,NET,9203,0.00045684343803458876
2022-01-16,unaffected,NET,9203,9.210029526482451e-07
2022-06-08,all,NET,9203,0.0005951956270972643
2022-06-08,affected,NET,9203,0.0009713137796165116
2022-06-08,unaffected,NET,9203,1.0379658712067114e-06
2024-06-26,all,NET,9203,0.0004126180309716908
2024-06-26,affected,NET,9203,0.0005828689492151321
2024-06-26,unaffected,NET,9203,1.524350335088609e-06
2019-11-27,all,NET,9204,0.0001301631911912143
2019-11-27,affected,NET,9204,0.00022145893445084706
2019-11-27,unaffected,NET,9204,1.4127840301936437e-06
2021-05-04,all,NET,9204,0.001107073851625641
2021-05-04,affected,NET,9204,0.001500744921068323
2021-05-04,unaffected,NET,9204,1.2562408315903567e-06
2022-01-16,all,NET,9204,0.0002067064347058011
2022-01-16,affected,NET,9204,0.00045723690041640916
2022-01-16,unaffected,NET,9204,9.516266966634474e-07
2022-06-08,all,NET,9204,0.0005951506986418766
2022-06-08,affected,NET,9204,0.0009712457979330105
2022-06-08,unaffected,NET,9204,1.0294548341435466e-06
2024-06-26,all,NET,9204,0.00041201991129389566
2024-06-26,affected,NET,9204,0.000582033044871173
2024-06-26,unaffected,NET,9204,1.5003936316893558e-06
2019-11-27,all,NET,9205,0.00013028020981563967
2019-11-27,affected,NET,9205,0.0002217043999490388
