event,fold,type,type_group,population,n_windows,n_counties,NET_path_mse,ASYM_path_mse,PERSISTENCE_path_mse,NET_path_rmse,ASYM_path_rmse,PERSISTENCE_path_rmse,delta_rmse_seed_mean,seeds_delta_rmse_positive,delta_rmse_1h,delta_rmse_6h,delta_rmse_24h,delta_seed_mean,delta_seed_sd,seeds_delta_positive,delta_mse_1h,delta_mse_6h,delta_mse_24h,NET_mean_signed_error,ASYM_mean_signed_error,PERSISTENCE_mean_signed_error,NET_oob_fraction,delta_untrained_seed_mean
2019-02-24,1,wind,wind_tropical,all,7833,442,0.0010581322633409506,0.0011352771877736006,0.0013186631824150113,0.0325131249093077,0.03368757753954797,0.03631340224235415,-0.0011744526302402685,1,0.004044744379576945,-0.001372503986859852,2.3318759117305075e-06,-7.714492443264974e-05,6.665295376510786e-05,1,0.00014109075869396417,-9.160655957754652e-05,9.285899140493332e-07,-0.0030274391697242492,-0.005922746687229012,0.0006680029306956265,0.33457196968925945,4.796204575559953e-05
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,0.00013871108955577433,2.1271421489340736e-06,7.98905628564398e-07,0.011497655898321444,0.001344629277679974,0.0008938152094053883,0.01015302662064147,5,0.014647952853119216,0.01091791106162601,0.00905578692996534,0.00013658394740684022,6.416702298320275e-05,5,0.00023654237431577706,0.00014687192522266435,0.0001252014700535634,0.002586595915520108,0.00012241760228099975,9.899402160107728e-07,0.42210679317210964,1.0448669964115027e-06
2019-11-27,2,wind,wind_tropical,affected,3009,165,0.00028730997741374046,0.00017420869682245995,0.00022142584843857192,0.01692190532262835,0.013196275360785745,0.014880384687183727,0.003725629961842609,5,6.674303222487469e-05,0.0018257570071895668,0.007609625924701114,0.00011310128059128046,4.251176645418091e-05,5,8.407983852244454e-07,3.889208467371694e-05,0.0002743923294037462,-0.0004263465156824832,0.0005480254617314601,-0.00014849545388722298,0.5242030062684967,5.539282253071669e-06
2019-11-27,2,wind,wind_tropical,all,4874,282,0.00028722166825594385,0.00011059636440238977,0.0001301077502536683,0.016911354100914076,0.010510740967889667,0.011406478433489816,0.006400613133024408,5,0.00022019942737904665,0.003454485678867824,0.011128227695030732,0.00017662530385355405,4.6813170100833864e-05,5,2.1599803555885406e-06,6.43095663826825e-05,0.000391625725740305,0.00019187268716236357,0.0010108367842102568,-9.289522919554631e-05,0.540878509173057,3.1583429685985807e-06
2019-11-27,2,wind,wind_tropical,unaffected,1865,117,0.00028709712970007684,2.0886664835624175e-05,1.325816915983667e-06,0.016859972684564524,0.004402813466933389,0.001151441234272799,0.012457159217631134,5,0.0014119057021016964,0.008155525748931856,0.01698352737484472,0.00026621046486445266,6.567983830987815e-05,5,4.0203651855891875e-06,0.00010015473289532622,0.0005569548744200673,0.0010637202809179167,0.0016635194184752265,-1.4484655912412489e-05,0.5643952440384628,-1.9939191976092439e-07
2020-02-06,1,flood,convective_flood,affected,1536,89,0.0018370226250057468,0.0015567097302824663,0.0017226985517506924,0.04284100538520349,0.03945235232120233,0.041505403886129,0.0033886530640011487,5,0.0055420886553265184,0.012609412055842336,-0.005647621458693304,0.0002803128947232801,0.00010887378995570473,5,0.0001700423000341655,0.000789290376634101,-0.0005916644564398367,-0.0013754067727707272,-0.00037679643735141234,2.1883952382484786e-05,0.4045489283656418,5.2327851953609455e-05
2020-02-06,1,flood,convective_flood,all,2716,160,0.0010631280844333561,0.0008798478599167074,0.0009585614004715721,0.032584922713733644,0.029658281962408144,0.030960642765801426,0.0029266407513254926,5,0.0059658494531372895,0.00996734845538457,-0.004088870632831565,0.0001832802245166486,7.40674784887811e-05,5,0.00014782311328580787,0.00047450743466306177,-0.000322903985303216,-0.00019850257561988921,0.00026395877191005157,9.03112065760587e-06,0.4316760050711833,2.927202711752203e-05
2020-02-06,1,flood,convective_flood,unaffected,1180,71,9.303492794120477e-05,3.138720551455917e-05,6.993376005628842e-07,0.009492566992774324,0.0053687137404238635,0.0008362640734617769,0.00412385325235046,5,0.010333581994444637,0.006094903268685687,0.0010347730525334812,6.164772242664559e-05,3.2911499595674865e-05,5,0.00011997089327730325,7.992036655851955e-05,1.399294330466111e-05,0.0012767716996818649,0.0010671589638011822,-7.080175448228233e-06,0.465680368828834,3.7106359059558236e-07
2020-08-04,3,tropical,wind_tropical,affected,1410,74,0.0034183148911263025,0.004504594802861696,0.005338735240691159,0.05843600971467875,0.0670957304181774,0.0730666493052142,-0.008659720703498654,0,-0.0006089365181272122,-0.005768703540536886,-0.013055253547157846,-0.0010862799117353939,0.00015462987077319827,0,-2.4077891166146005e-05,-0.0005646851044682117,-0.0021413157330564462,0.0015208319827621775,-0.0013048514090413603,0.00427210834490641,0.21848777348777348,0.00018846907040859402
2020-08-04,3,tropical,wind_tropical,all,1615,87,0.003121932158315147,0.0038459445988467582,0.004541346937332208,0.05585961291289654,0.06199582042633328,0.06738951652395354,-0.006136207513436744,0,-0.00043610372755015366,-0.004037340361668769,-0.009882115954388876,-0.0007240124405316104,0.00010077827536063572,0,-1.5983670853711265e-05,-0.00037039697489694295,-0.0015226042733199295,0.0031676302245083076,-0.0007521942533184937,0.003670405151932897,0.23043022749919304,0.00016026619806184094
2020-08-04,3,tropical,wind_tropical,unaffected,205,13,0.0014348304484670324,9.670497599249056e-05,2.3673643658718487e-06,0.03712077606448442,0.00893570174158297,0.0015386241795421808,0.02818507432290145,5,0.004254718816743856,0.02259700366283373,0.03226186048626055,0.0013381254724745418,0.0005638540406829394,5,3.009112169399415e-05,0.0007355508395856633,0.0019992917282571692,0.012541712523678583,0.002393700325411671,0.0002453254380836716,0.2984103503334273,-2.732291427511206e-07
2020-10-29,4,tropical,wind_tropical,affected,1907,114,0.004363219701236079,0.006589641914285707,0.005165799635322099,0.06603365830546579,0.08086655473390505,0.07187349744740476,-0.014832896428439277,0,-0.0020589833598756756,-0.013964917936271925,-0.01397051706018763,-0.002226422213049627,0.0013027479413415847,0,-0.00011525004936236703,-0.0019006030762473813,-0.0025081631317863387,-0.01092244288027286,-0.013740750481941325,0.007568635650292154,0.2665991868349325,0.0002816923284745856
2020-10-29,4,tropical,wind_tropical,all,2309,140,0.0036063607575840878,0.005370580692941636,0.004206633897026514,0.06003576262033379,0.07300327681257093,0.06485856841641291,-0.012967514192237146,0,-0.0018486292299476695,-0.012448723472724412,-0.011860993498043995,-0.0017642199353575488,0.0010649264499946118,0,-9.342487625174833e-05,-0.0015318606776660586,-0.0019340237671710329,-0.008063813066862333,-0.01097032134187324,0.006157863554473245,0.29556929627911777,0.0002294177174135964
2020-10-29,4,tropical,wind_tropical,unaffected,402,26,0.0002878253892638156,2.5466107048406065e-05,1.0610444997224548e-06,0.016678972238055534,0.004395392573886577,0.0010300701431079607,0.012283579664168959,5,0.0009300605348189401,0.006455636374509265,0.018778451659261286,0.00026235928221540956,0.0001294193410866583,5,2.2701135409642315e-06,8.493291611358714e-05,0.0005833565238345422,0.0044701791919376736,0.0011769448876560464,-2.7829481040444505e-05,0.4225920838420838,2.1365353080044092e-07
2021-02-15,1,winter,winter,affected,4279,229,0.009704958027862401,0.010093624802544762,0.006925206231816059,0.09849700832961461,0.10012972399919666,0.08321782400313084,-0.001632715669582055,2,0.009072303010780606,0.008356604984745632,-0.008981014329186942,-0.0003886667746823594,0.0021513268165500097,2,0.000573643022460309,0.0012385233416105767,-0.002234161684445221,-0.03169544837901968,-0.02148129075520549,-0.0034398963710966643,0.35555823543268955,0.00016989000787905693
2021-02-15,1,winter,winter,all,9179,497,0.004525844297379207,0.0046509754359322485,0.003191094722850511,0.06726649950830892,0.06796911179474337,0.05648977538325419,-0.0007026122864344411,2,0.008267107660331247,0.006061076508537444,-0.005783190476135134,-0.0001251311385530406,0.0009674961752188259,2,0.0003734111377707092,0.0006155425613619177,-0.0009794820198425018,-0.013436998516875747,-0.009906189737164393,-0.0015880946072131265,0.419222653948805,7.899127111525833e-05
2021-02-15,1,winter,winter,unaffected,4900,268,0.00010040756498871472,3.5340252080942136e-07,3.800379508437544e-07,0.009745577033956452,0.0005944381017477712,0.0006164721817274113,0.009151138932208683,5,0.013447414994035123,0.00823771165140827,0.008714225883938524,0.0001000541624679053,5.7368155614148734e-05,5,0.00020231747510683477,8.321943197034018e-05,9.261366371728506e-05,0.0021644381190606696,-1.5525061300921365e-05,-5.7714582230878495e-06,0.47362247424802295,1.3203355969375768e-06
2021-05-04,2,convective,convective_flood,affected,4054,250,0.001031446455434026,0.001008312489440816,0.001502221871423059,0.03211006222690046,0.03174257468878225,0.03875850708454931,0.0003674875381182066,3,0.0005489369337599532,0.00013897783052309597,0.001754645718029954,2.313396599321004e-05,6.686381570632707e-05,3,1.8135323208402884e-05,7.712458233062321e-06,0.00012799401483829022,-0.000208303347834178,-0.0019274559008963584,0.0015179439349635921,0.43028448476532066,4.9712602980503135e-05
2021-05-04,2,convective,convective_flood,all,5547,339,0.0008212322010704105,0.0007640212834178564,0.0011081276611406596,0.028645216678873958,0.027627016564452787,0.03328855150259109,0.0010182001144211736,4,0.0005041379923438703,0.0005113185889212106,0.0023466868930837144,5.721091765255398e-05,8.107564385895327e-05,4,1.4363383820110163e-05,2.6732033197534383e-05,0.00015253635120416066,0.0005598174010667438,-0.001136611706130801,0.0011161447591867737,0.4375592095990086,3.6609326238058826e-05
2021-05-04,2,convective,convective_flood,unaffected,1493,89,0.0002307427225209287,7.781003054437468e-05,1.1214524822347486e-06,0.014799881158735262,0.008083133594474119,0.0010589865354360029,0.006716747564261144,4,0.0012246543622079845,0.00607682730972917,0.00707506553506122,0.00015293269197655404,0.00017833754895528911,4,3.768048459737224e-06,8.01578055696469e-05,0.00022147549829930205,0.002717459954159221,0.0010848607510758213,-1.250461097282892e-05,0.4579938299183568,-1.9763090363866564e-07
2021-06-21,3,convective,convective_flood,affected,3827,190,0.000506530866750177,0.00043436921163135316,0.0006282165936265157,0.022500252171889695,0.020840314592713495,0.025064249313045777,0.0016599375791762044,5,-0.00025832804783001447,0.0002829550190750783,0.004922208782764039,7.216165511882386e-05,2.114970335902211e-05,5,-3.908575142759984e-06,1.0148464932328643e-05,0.00021638827195649728,0.00423874441380401,-0.0012164208636959981,0.00013787358416288186,0.27106864445354345,1.6830974077312293e-05
