event,fold,type,type_group,population,n_windows,n_counties,model,seed,path_mse,mse_1h,mse_6h,mse_24h,mean_signed_error,oob_fraction
2018-01-16,0,winter,winter,affected,505,44,ASYM,9203,0.0002435083952034749,8.630653942678247e-05,0.0002490919116681501,0.00022441608481379101,-0.0005571085732402637,0.0
2018-01-16,0,winter,winter,affected,505,44,ASYM,9204,0.00021363026415794134,8.619570827958874e-05,0.0002279075771918949,0.00018132480870732107,-0.000732314117949787,0.0
2018-01-16,0,winter,winter,affected,505,44,ASYM,9205,0.00024625457399698086,8.625025487885802e-05,0.00025104565397833446,0.0002285225144359218,-0.0005568937085040511,0.0
2018-01-16,0,winter,winter,affected,505,44,PERSISTENCE,0,0.00025014942117362307,8.631427036957968e-05,0.0002531432831028559,0.0002355409743699618,-0.0005527755926002885,0.0
2018-01-16,0,winter,winter,unaffected,2018,176,NET,9201,4.160639508707178e-05,6.851446620604567e-07,1.4867415767049644e-05,9.487885881825473e-05,0.0006187293697152694,0.4299623238188579
2018-01-16,0,winter,winter,unaffected,2018,176,NET,9202,8.236186834002836e-05,9.768907301938299e-07,2.4145146995517084e-05,0.00019480221570524926,0.0024521122408141926,0.383424916308439
2018-01-16,0,winter,winter,unaffected,2018,176,NET,9203,0.00013561354190952496,1.6612716168309135e-06,4.3833387328865763e-05,0.00027880328496147845,0.00809360493338619,0.11436809323883187
2018-01-16,0,winter,winter,unaffected,2018,176,NET,9204,6.029389172560518e-05,7.440344700513037e-07,1.4958020273718576e-05,0.00016994910825555304,-0.001575549660775957,0.5841836194108921
2018-01-16,0,winter,winter,unaffected,2018,176,NET,9205,3.501393832210982e-05,6.398178817063557e-07,1.3604168779519768e-05,7.90107581793231e-05,0.0011454969307743213,0.4239371384612862
2018-01-16,0,winter,winter,unaffected,2018,176,ASYM,9201,1.4122137773870626e-07,5.86841617101326e-08,9.531945674154841e-08,1.9465831275187384e-07,-6.07384036083556e-06,0.0
2018-01-16,0,winter,winter,unaffected,2018,176,ASYM,9202,1.421363006814703e-07,5.8753304506600924e-08,9.572070102513462e-08,1.976201762006224e-07,-4.746137820061538e-06,0.0
2018-01-16,0,winter,winter,unaffected,2018,176,ASYM,9203,1.4391356249698674e-07,5.881710133624038e-08,9.640351908594001e-08,2.0108597067458106e-07,-2.417052812113285e-06,0.0
2018-01-16,0,winter,winter,unaffected,2018,176,ASYM,9204,1.390440273097947e-07,5.8647727848213816e-08,9.441268781611255e-08,1.9134853925912381e-07,-5.482151760440033e-06,0.0
2018-01-16,0,winter,winter,unaffected,2018,176,ASYM,9205,1.415074246545208e-07,5.871158994423751e-08,9.547485068308262e-08,1.9480056084197859e-07,-2.71741058868817e-06,0.0
2018-01-16,0,winter,winter,unaffected,2018,176,PERSISTENCE,0,1.432689588244278e-07,5.882808288178926e-08,9.646394114724213e-08,1.9640235581206958e-07,-1.622138630276689e-05,0.0
2018-10-11,0,tropical,wind_tropical,all,2503,125,NET,9201,0.004631191573906975,0.0003903630659126904,0.0022098032013474172,0.008297261948076253,-0.004263487515263076,0.28652014652014657
