event,population,model,seed,lead_h,mse
2018-01-16,all,ASYM,9204,20,6.042417107104407e-05
2018-01-16,all,ASYM,9204,21,5.065073785156641e-05
2018-01-16,all,ASYM,9204,22,3.498250320093973e-05
2018-01-16,all,ASYM,9204,23,3.3836043198694756e-05
2018-01-16,all,ASYM,9204,24,3.6418040572871515e-05
2018-01-16,all,ASYM,9205,1,1.7297020247726988e-05
2018-01-16,all,ASYM,9205,2,2.8550484446210685e-05
2018-01-16,all,ASYM,9205,3,2.7641075800453837e-05
2018-01-16,all,ASYM,9205,4,3.481702237093999e-05
2018-01-16,all,ASYM,9205,5,4.126727920829257e-05
2018-01-16,all,ASYM,9205,6,5.028551067621335e-05
2018-01-16,all,ASYM,9205,7,5.86727987605446e-05
2018-01-16,all,ASYM,9205,8,5.6248110969225204e-05
2018-01-16,all,ASYM,9205,9,5.5493833577065906e-05
2018-01-16,all,ASYM,9205,10,4.8586993837522903e-05
2018-01-16,all,ASYM,9205,11,4.7343549781326087e-05
2018-01-16,all,ASYM,9205,12,4.996809622854631e-05
2018-01-16,all,ASYM,9205,13,6.60915576948146e-05
2018-01-16,all,ASYM,9205,14,5.963781258254955e-05
2018-01-16,all,ASYM,9205,15,5.577593809625587e-05
2018-01-16,all,ASYM,9205,16,4.900881963547111e-05
2018-01-16,all,ASYM,9205,17,5.154143088970753e-05
2018-01-16,all,ASYM,9205,18,5.413333112223597e-05
2018-01-16,all,ASYM,9205,19,7.305149695235194e-05
2018-01-16,all,ASYM,9205,20,6.82474008938623e-05
2018-01-16,all,ASYM,9205,21,5.86267274754707e-05
2018-01-16,all,ASYM,9205,22,4.354728816263301e-05
2018-01-16,all,ASYM,9205,23,4.3044974993596055e-05
2018-01-16,all,ASYM,9205,24,4.5860343335857945e-05
2018-01-16,all,PERSISTENCE,0,1,1.730991654022137e-05
2018-01-16,all,PERSISTENCE,0,2,2.8648078507416745e-05
2018-01-16,all,PERSISTENCE,0,3,2.7784762960801325e-05
2018-01-16,all,PERSISTENCE,0,4,3.505902107773164e-05
2018-01-16,all,PERSISTENCE,0,5,4.159836702408809e-05
2018-01-16,all,PERSISTENCE,0,6,5.0705827773488985e-05
2018-01-16,all,PERSISTENCE,0,7,5.9158833279330856e-05
2018-01-16,all,PERSISTENCE,0,8,5.683213009824147e-05
2018-01-16,all,PERSISTENCE,0,9,5.6146300130407066e-05
2018-01-16,all,PERSISTENCE,0,10,4.930784206651221e-05
2018-01-16,all,PERSISTENCE,0,11,4.81227625392524e-05
2018-01-16,all,PERSISTENCE,0,12,5.080928560375251e-05
2018-01-16,all,PERSISTENCE,0,13,6.69925532445209e-05
2018-01-16,all,PERSISTENCE,0,14,6.059970768665942e-05
2018-01-16,all,PERSISTENCE,0,15,5.679369159210695e-05
2018-01-16,all,PERSISTENCE,0,16,5.008018300432404e-05
2018-01-16,all,PERSISTENCE,0,17,5.266088262737159e-05
2018-01-16,all,PERSISTENCE,0,18,5.530921453467945e-05
2018-01-16,all,PERSISTENCE,0,19,7.396504496516442e-05
2018-01-16,all,PERSISTENCE,0,20,6.935656229203874e-05
2018-01-16,all,PERSISTENCE,0,21,5.978297715128068e-05
2018-01-16,all,PERSISTENCE,0,22,4.479456029852003e-05
2018-01-16,all,PERSISTENCE,0,23,4.4384163886267005e-05
2018-01-16,all,PERSISTENCE,0,24,4.726531675864202e-05
2018-01-16,affected,NET,9201,1,8.407327481595495e-05
2018-01-16,affected,NET,9201,2,0.00013244481331015548
2018-01-16,affected,NET,9201,3,0.0001244046859510389
2018-01-16,affected,NET,9201,4,0.00015366938380193803
2018-01-16,affected,NET,9201,5,0.00017775148369991004
2018-01-16,affected,NET,9201,6,0.0002143313527910773
2018-01-16,affected,NET,9201,7,0.00024508256570015863
2018-01-16,affected,NET,9201,8,0.000228303652413078
2018-01-16,affected,NET,9201,9,0.00021938523462611685
2018-01-16,affected,NET,9201,10,0.00019004253767790564
2018-01-16,affected,NET,9201,11,0.00018741719985517632
2018-01-16,affected,NET,9201,12,0.0001957417014409212
2018-01-16,affected,NET,9201,13,0.00027816712261740403
2018-01-16,affected,NET,9201,14,0.0002549484885505366
2018-01-16,affected,NET,9201,15,0.0002335773686526669
2018-01-16,affected,NET,9201,16,0.00020304652487471926
2018-01-16,affected,NET,9201,17,0.0002245386056390192
2018-01-16,affected,NET,9201,18,0.00023777918062020824
2018-01-16,affected,NET,9201,19,0.0003636327716986573
2018-01-16,affected,NET,9201,20,0.00033574561782002304
2018-01-16,affected,NET,9201,21,0.0002929027055673767
2018-01-16,affected,NET,9201,22,0.00021498660799419906
2018-01-16,affected,NET,9201,23,0.00021876390809000954
2018-01-16,affected,NET,9201,24,0.00024201688102779709
2018-01-16,affected,NET,9202,1,8.436460928335584e-05
2018-01-16,affected,NET,9202,2,0.0001348058475818555
2018-01-16,affected,NET,9202,3,0.0001285528356268084
2018-01-16,affected,NET,9202,4,0.00016107240160356307
2018-01-16,affected,NET,9202,5,0.00018990326769283608
2018-01-16,affected,NET,9202,6,0.00023103475274550874
2018-01-16,affected,NET,9202,7,0.00025959774431439937
2018-01-16,affected,NET,9202,8,0.0002477116760965077
2018-01-16,affected,NET,9202,9,0.00024393119380346678
2018-01-16,affected,NET,9202,10,0.00022334267597323
2018-01-16,affected,NET,9202,11,0.00022548612693500103
2018-01-16,affected,NET,9202,12,0.0002361171488255223
2018-01-16,affected,NET,9202,13,0.00031135151232178555
2018-01-16,affected,NET,9202,14,0.00029431638609690817
2018-01-16,affected,NET,9202,15,0.0002759701791767049
2018-01-16,affected,NET,9202,16,0.0002624398252109392
2018-01-16,affected,NET,9202,17,0.000293935696394183
2018-01-16,affected,NET,9202,18,0.00031306330651742595
2018-01-16,affected,NET,9202,19,0.000424266018534674
2018-01-16,affected,NET,9202,20,0.0004126777101016363
2018-01-16,affected,NET,9202,21,0.0003714496638369986
2018-01-16,affected,NET,9202,22,0.0003217213675321949
