event,fold,type,type_group,population,n_windows,n_counties,any_change,rise_and_fall,rise_only,fall_only
2021-06-21,3,convective,convective_flood,affected,3827,190,0.5758140190517573,0.4691067491702981,0.039019126366364426,0.06768814351509479
2021-06-21,3,convective,convective_flood,unaffected,1271,65,0.33725723622782444,0.2704260935143288,0.03700998348057172,0.02982115923292394
2021-08-11,4,convective,convective_flood,all,4540,249,0.6286382502359412,0.5178037608256938,0.034242998061118836,0.07659149134912871
2021-08-11,4,convective,convective_flood,affected,3369,187,0.7140324955466676,0.5874198643693352,0.036362838609490154,0.09024979256784194
2021-08-11,4,convective,convective_flood,unaffected,1171,62,0.37107818776649293,0.30783260981503263,0.027849285439418264,0.035396292512042044
2021-12-11,0,convective,convective_flood,all,4611,247,0.4310309647554731,0.3280090265597467,0.028989191063494468,0.07403274713223197
2021-12-11,0,convective,convective_flood,affected,3344,178,0.5110318421485673,0.38889924285313376,0.03214633827654317,0.08998626101889051
2021-12-11,0,convective,convective_flood,unaffected,1267,69,0.2246518897414038,0.17092991786086414,0.020844666368963045,0.0328773055115766
2021-12-15,0,wind,wind_tropical,all,1405,69,0.3867807757967941,0.26474072583912395,0.03148059669798799,0.09055945325968208
2021-12-15,0,wind,wind_tropical,affected,1000,49,0.48590864917395526,0.3279883381924198,0.0369290573372206,0.12099125364431486
2021-12-15,0,wind,wind_tropical,unaffected,405,20,0.14391748602274917,0.10978407557354926,0.01813186813186813,0.01600154231733179
2022-01-16,2,winter,winter,all,8628,428,0.34999682949449307,0.28016554447629216,0.03271755503063914,0.03711372998756176
2022-01-16,2,winter,winter,affected,3990,193,0.49873400922623723,0.4071886518777711,0.03943992104613866,0.052105436302327494
2022-01-16,2,winter,winter,unaffected,4638,235,0.22784246486374146,0.17584443924869456,0.027196633154079965,0.024801392460966926
2022-03-12,3,winter,winter,all,7550,382,0.29358726877782926,0.23337050016677366,0.0278004811805243,0.03241628743053134
2022-03-12,3,winter,winter,affected,3249,160,0.4383519794135603,0.3386953298947784,0.04278503869496516,0.05687161082381671
2022-03-12,3,winter,winter,unaffected,4301,222,0.18925234219351864,0.1574607129754188,0.01700080008903538,0.014790829129064422
2022-04-13,1,convective,convective_flood,all,3794,202,0.4566643846281679,0.38027060080212766,0.026460063588776464,0.049933720237263744
2022-04-13,1,convective,convective_flood,affected,2572,133,0.5965430284880225,0.5014111070304185,0.029657477025898077,0.065474444431706
2022-04-13,1,convective,convective_flood,unaffected,1222,69,0.18704323052149138,0.14676788589832068,0.0202969333404116,0.01997841128275911
2022-06-08,2,convective,convective_flood,all,3256,178,0.4623738473235812,0.3717264206323934,0.03950937196058425,0.05113805473060352
2022-06-08,2,convective,convective_flood,affected,2005,109,0.5598935146617425,0.4611479740282251,0.04119817893357246,0.05754736169994499
2022-06-08,2,convective,convective_flood,unaffected,1251,69,0.3083210394995292,0.23046628555781873,0.03684154645253043,0.041013207489180026
2022-06-17,3,convective,convective_flood,all,6143,342,0.530614003445463,0.4291381982320823,0.02990776423438962,0.07156804097899096
2022-06-17,3,convective,convective_flood,affected,5173,289,0.5817974093258783,0.47016541440545423,0.03143522100076676,0.08019677391965734
2022-06-17,3,convective,convective_flood,unaffected,970,53,0.2515195827013106,0.20542375532445045,0.021578801866785978,0.02451702551007417
2022-07-23,4,convective,convective_flood,all,3536,178,0.5284054452367668,0.41671556654598363,0.04309197757557586,0.06859790111520726
2022-07-23,4,convective,convective_flood,affected,2719,136,0.579228307255989,0.4635526862602987,0.038044776734223094,0.0776308442614671
