job,stage,update,validation,selected,examples,gn_head_a,gn_head_b,gn_hold,gn_occ,gn_bkg,gn_rec,train_loss
2022-03-12|asym_two_flow|two_flow_start,A,1400,0.00023003713877760008,True,1416640.0,9.433252903261457e-14,9.433252903261457e-14,0.0,2.230564932040845e-13,1.8039797785208673e-13,6.231090248122191e-06,
2022-03-12|asym_two_flow|two_flow_start,A,1600,0.00023626307869470333,False,1618688.0,8.0839332595963e-14,8.0839332595963e-14,0.0,1.7481154737311338e-13,7.756281917941232e-14,3.608056962314773e-06,
2022-03-12|asym_two_flow|two_flow_start,B,200,0.0002077880624448165,True,,5.842318823723679e-12,5.842318823723679e-12,0.0,1.7588656156617877e-11,1.1510606989388684e-11,0.0002790207979622364,0.00039464050678361673
2022-03-12|asym_two_flow|two_flow_start,B,400,0.0002093337521730851,False,,2.2052680515981477e-12,2.2052680515981477e-12,0.0,3.4576943579857834e-11,1.934223101190416e-11,0.0005185222514278951,0.0004570512656130177
2022-03-12|asym_two_flow|two_flow_start,B,600,0.00022443354675949286,False,,6.859548621795107e-12,6.859548621795107e-12,0.0,9.611055135993795e-12,3.3691957280162682e-12,6.160732324813547e-05,4.703692934526771e-05
2022-03-12|asym_two_flow|two_flow_start,B,800,0.0002020395899350263,True,,3.2180122307186954e-12,3.2180122307186954e-12,0.0,6.797630582528904e-12,2.9663457852130934e-12,3.6049628227223376e-05,4.492647519782622e-05
2022-03-12|asym_two_flow|two_flow_start,B,1000,0.00019807689764340768,True,,1.099899097811919e-11,1.099899097811919e-11,0.0,3.3925930874055e-11,1.5021455160662547e-11,0.001752497383415597,0.0007386578820387513
2022-03-12|asym_two_flow|two_flow_start,B,1200,0.00020556688881006292,False,,1.3819424025380628e-12,1.3819424025380628e-12,0.0,1.4309970553368843e-11,8.400188621968205e-12,0.00032127786563333944,0.00022594385200136458
2022-03-12|asym_two_flow|two_flow_start,B,1400,0.00020031105538288724,False,,1.4864889138423835e-12,1.4864889138423835e-12,0.0,8.231803670353308e-12,1.046254961558534e-11,0.0005073132754890202,0.00026585074283502763
2022-03-12|asym_two_flow|two_flow_start,B,1600,0.00020472281958923855,False,,1.4354912285930897e-11,1.4354912285930897e-11,0.0,3.6112488559351983e-11,2.29622000699645e-11,4.5584397489201184e-05,0.0002222230159532046
2022-03-12|asym_two_flow|two_flow_start,B,1800,0.00020889736576631908,False,,1.1930180355104624e-12,1.1930180355104624e-12,0.0,5.501918925684766e-12,2.2113329857569686e-12,0.00032321978117133353,8.538278348169115e-05
2022-03-12|asym_two_flow|two_flow_start,B,2000,0.0002068667347588673,False,,5.0140270177637995e-12,5.0140270177637995e-12,0.0,8.796552429144775e-12,1.0077194655533719e-11,0.000632021467944503,0.0008878059707058128
2022-03-12|asym_two_flow|two_flow_start,B,2200,0.00020486701507202969,False,,3.000711645353633e-13,3.000711645353633e-13,0.0,1.1489014607622512e-11,5.172883474763682e-12,0.0007302713444361312,0.0009286080185120227
2022-03-12|asym_one_flow|interruption_ray_start,A,0,0.00045811968371648853,True,,,,,,,,
2022-03-12|asym_one_flow|interruption_ray_start,A,200,0.00045811968371648853,False,202432.0,6.002280719688211e-14,6.002280719688211e-14,0.0,7.37327532300007e-14,3.887400913766129e-14,1.5492279873003097e-12,
2022-03-12|asym_one_flow|interruption_ray_start,A,400,0.00045811968371648853,False,405184.0,2.165453918444324e-14,2.165453918444324e-14,0.0,3.9199671326151293e-14,1.4805802266880897e-14,6.597761830588127e-13,
2022-03-12|asym_one_flow|interruption_ray_start,A,600,0.00045811968371648853,False,607360.0,3.820204163197255e-15,3.820204163197255e-15,0.0,4.7660548470670664e-14,3.226314587210976e-14,8.887785495730957e-13,
2022-03-12|asym_one_flow|interruption_ray_start,A,800,0.00045811968371648853,False,809664.0,4.84021806906426e-14,4.84021806906426e-14,0.0,8.706611737376808e-14,3.750766163921965e-14,1.957546818261388e-12,
2022-03-12|asym_one_flow|interruption_ray_start,A,1000,0.00045811968371648853,False,1011904.0,1.5480761718094654e-14,1.5480761718094654e-14,0.0,4.1025347457081295e-14,1.91920955563998e-14,1.0516750563698654e-12,
2022-03-12|asym_one_flow|interruption_ray_start,A,1200,0.00045811968371648853,False,1214144.0,4.856875008549429e-14,4.856875008549429e-14,0.0,5.608705495930175e-14,3.224546030412374e-14,1.7676182686943666e-12,
2022-03-12|asym_one_flow|interruption_ray_start,A,1400,0.00045811968371648853,False,1416640.0,4.8700552591608285e-14,4.8700552591608285e-14,0.0,9.666994248486662e-14,5.282394650127661e-14,2.125085892844443e-12,
2022-03-12|asym_one_flow|interruption_ray_start,A,1600,0.00045811968371648853,False,1618688.0,3.517821985880601e-14,3.517821985880601e-14,0.0,5.2551204369355384e-14,1.95774966051108e-14,1.1106913740350716e-12,
2022-03-12|asym_one_flow|interruption_ray_start,B,200,0.00045811968371648853,False,,2.4574077115284178e-11,2.4574077115284178e-11,0.0,3.560743755314311e-11,1.2342758283972764e-11,1.90103667459821e-09,0.0010070414828078356
