variant,model,seed,event,component,path_mse,mse_1h,mse_6h,mse_24h,oob_fraction,n_windows,n_counties
raw,ASYM,8204,2024-05-08,1,0.0002784823826687242,0.00011032468492080556,0.00021480369450640622,0.0003674097056462293,0.0,3481,166
raw,ASYM,8204,2024-05-26,2,0.003081026057907224,0.00031557164408463107,0.0019884316272404425,0.004943781409424419,0.0,4864,256
raw,ASYM,8204,2024-06-26,3,0.00026672994973451233,9.130980184207001e-05,0.0002794499167296652,0.0004243075219148182,0.0,2940,140
raw,ASYM,8204,2024-09-27,4,0.00830181514847052,0.00043196929147947737,0.00441005889873386,0.01532607309824204,0.0,5658,270
raw,ASYM,8205,2024-01-09,0,0.0007783441893402386,0.00011534110138185386,0.000545675409147084,0.0012075907082776708,0.0,2520,120
raw,ASYM,8205,2024-01-12,0,0.0003956819556128164,4.974707149609837e-05,0.0002798597048351344,0.000578156390341451,0.0,5967,288
raw,ASYM,8205,2024-05-08,1,0.00028829111968709046,0.000110502295785349,0.00020729065141952675,0.0003950257839660013,0.0,3481,166
raw,ASYM,8205,2024-05-26,2,0.0032269754204845144,0.00032171474956963473,0.002087936124525568,0.005064015412719091,0.0,4864,256
raw,ASYM,8205,2024-06-26,3,0.00024848643369124277,8.104714545070405e-05,0.00026531518367789507,0.00040898427934895395,0.0,2940,140
raw,ASYM,8205,2024-09-27,4,0.008028622463954447,0.0004303395542827813,0.004413211210542972,0.014655061733360683,0.0,5658,270
output_clip_01,NET,8201,2024-01-09,0,0.0011880353445731335,0.00022608532550778905,0.0006855840808826458,0.0018936305004169664,0.0,2520,120
output_clip_01,NET,8201,2024-01-12,0,0.0005282983061177627,0.000268139635693199,0.00043381930473337005,0.000725047510755129,0.0,5967,288
output_clip_01,NET,8201,2024-05-08,1,0.0004883542583861786,0.00025456795602127834,0.00033761173678522856,0.0007611386503330024,0.0,3481,166
output_clip_01,NET,8201,2024-05-26,2,0.0033269581588786057,0.0004956835890274781,0.0025141960251243247,0.005124969617711502,0.0,4864,256
output_clip_01,NET,8201,2024-06-26,3,0.0003036744557834366,0.00011118187859320217,0.00035883556881284714,0.00043092521007021337,0.0,2940,140
output_clip_01,NET,8201,2024-09-27,4,0.009036727887623334,0.0009162516690472868,0.0064960030157535514,0.014701009021978751,0.0,5658,270
output_clip_01,NET,8202,2024-01-09,0,0.0013527751665108052,0.00025615102790258734,0.0006239431026145635,0.0030061555278590854,0.0,2520,120
output_clip_01,NET,8202,2024-01-12,0,0.0005088901249489191,0.00023881861736830133,0.0004403084577246233,0.000734483687700068,0.0,5967,288
output_clip_01,NET,8202,2024-05-08,1,0.00030200928737896557,0.0002046517116882143,0.00023493602706942595,0.00035140808023487007,0.0,3481,166
output_clip_01,NET,8202,2024-05-26,2,0.0034318905152055314,0.0004743358870019539,0.0025030888974876962,0.005219293363977432,0.0,4864,256
output_clip_01,NET,8202,2024-06-26,3,0.00030401958417244077,9.934348208457628e-05,0.0003676889267765749,0.0004695629697389764,0.0,2940,140
output_clip_01,NET,8202,2024-09-27,4,0.00845271842799154,0.0007613086745661559,0.0051964088937116746,0.01518835682714465,0.0,5658,270
output_clip_01,NET,8203,2024-01-09,0,0.000928326992836518,0.00023769927076313944,0.0006719552267587936,0.0020385005305592644,0.0,2520,120
output_clip_01,NET,8203,2024-01-12,0,0.0005233848005639765,0.00020658910204637073,0.0004063702470784389,0.0008647845375062793,0.0,5967,288
output_clip_01,NET,8203,2024-05-08,1,0.0005141560793801833,0.00027838086865129564,0.0006438073923625744,0.0005999762976564422,0.0,3481,166
output_clip_01,NET,8203,2024-05-26,2,0.003550686832981705,0.0005105010451351378,0.0026047092301341294,0.005567093096658882,0.0,4864,256
output_clip_01,NET,8203,2024-06-26,3,0.00031229566454045395,0.0001235369456405642,0.00035421499173713284,0.0005740249595118252,0.0,2940,140
output_clip_01,NET,8203,2024-09-27,4,0.009519131499144833,0.0007463877364214265,0.005795920608924799,0.016333742616610858,0.0,5658,270
output_clip_01,NET,8204,2024-01-09,0,0.0011367636042283263,0.0002539853539327454,0.000693069008756097,0.0022684667170149277,0.0,2520,120
output_clip_01,NET,8204,2024-01-12,0,0.0005298895289269616,0.000166922792964025,0.00042316303326769654,0.0008285406608523511,0.0,5967,288
output_clip_01,NET,8204,2024-05-08,1,0.00033131542285621277,0.00020907326319111053,0.00029372781996997416,0.00047034590958594204,0.0,3481,166
output_clip_01,NET,8204,2024-05-26,2,0.0034082062183919937,0.000504833765824883,0.0025542474744089027,0.005201430687246704,0.0,4864,256
output_clip_01,NET,8204,2024-06-26,3,0.0003604610842046553,0.00011106119280844289,0.000327426458217475,0.0006815622013430921,0.0,2940,140
output_clip_01,NET,8204,2024-09-27,4,0.008352347580374847,0.0007827171308434638,0.005769307312126732,0.014401624180548757,0.0,5658,270
output_clip_01,NET,8205,2024-01-09,0,0.0006813398042383485,0.00020401644277613008,0.0005570233404443159,0.0010070689533155021,0.0,2520,120
output_clip_01,NET,8205,2024-01-12,0,0.00043693388606327074,0.00011420600761650874,0.00036324999443281924,0.0005792830168829858,0.0,5967,288
output_clip_01,NET,8205,2024-05-08,1,0.0002470469317857061,0.0002579837452767287,0.0002359975708943493,0.00029465320129550996,0.0,3481,166
output_clip_01,NET,8205,2024-05-26,2,0.0032572943377417443,0.000560350330247897,0.0024915537968608083,0.00475047638730192,0.0,4864,256
output_clip_01,NET,8205,2024-06-26,3,0.0003198503298722317,0.00020196273072673523,0.000362460130616302,0.00047054368303289877,0.0,2940,140
output_clip_01,NET,8205,2024-09-27,4,0.009826451683152678,0.0008562129124337487,0.006608651205346528,0.016269060277545204,0.0,5658,270
output_clip_01,ASYM,8201,2024-01-09,0,0.0007257843603507434,0.00011632174703166064,0.0005328073535388889,0.0011073212451525344,0.0,2520,120
output_clip_01,ASYM,8201,2024-01-12,0,0.0003961380232938405,5.023101557098674e-05,0.00027085338582138855,0.000574755194892049,0.0,5967,288
output_clip_01,ASYM,8201,2024-05-08,1,0.00023870403592168184,0.00010978253115216826,0.00018931206378756596,0.00031316582547425326,0.0,3481,166
output_clip_01,ASYM,8201,2024-05-26,2,0.003128603750430012,0.0003150757945176461,0.0019723919118807996,0.005095966891493427,0.0,4864,256
output_clip_01,ASYM,8201,2024-06-26,3,0.0002727713069825919,8.59463840534597e-05,0.0002869276289682436,0.0004276219656615455,0.0,2940,140
