variant,model,seed,event,lead_h,mse
raw,NET,8203,2024-09-27,21,0.014548254030012983
raw,NET,8203,2024-09-27,22,0.014988373468658327
raw,NET,8203,2024-09-27,23,0.016006572186030653
raw,NET,8203,2024-09-27,24,0.01637476304935467
raw,NET,8204,2024-01-09,1,0.0003032550336709251
raw,NET,8204,2024-01-09,2,0.0004034511847788895
raw,NET,8204,2024-01-09,3,0.0005259565536618951
raw,NET,8204,2024-01-09,4,0.0006931016579257362
raw,NET,8204,2024-01-09,5,0.0007074802263254006
raw,NET,8204,2024-01-09,6,0.0007134073834209614
raw,NET,8204,2024-01-09,7,0.0006455310068629823
raw,NET,8204,2024-01-09,8,0.000690050443770115
raw,NET,8204,2024-01-09,9,0.0006807676782226499
raw,NET,8204,2024-01-09,10,0.000878879987762999
raw,NET,8204,2024-01-09,11,0.0009416871641311386
raw,NET,8204,2024-01-09,12,0.0010194450287266726
raw,NET,8204,2024-01-09,13,0.0009892524099707055
raw,NET,8204,2024-01-09,14,0.0011085126073855603
raw,NET,8204,2024-01-09,15,0.001145578649968695
raw,NET,8204,2024-01-09,16,0.0014178384996440302
raw,NET,8204,2024-01-09,17,0.0015436111206515878
raw,NET,8204,2024-01-09,18,0.001691018271782196
raw,NET,8204,2024-01-09,19,0.0016532257634546195
raw,NET,8204,2024-01-09,20,0.00176808414108646
raw,NET,8204,2024-01-09,21,0.001861313364691556
raw,NET,8204,2024-01-09,22,0.0021016645854523277
raw,NET,8204,2024-01-09,23,0.0021366452428245994
raw,NET,8204,2024-01-09,24,0.002282458355194695
raw,NET,8204,2024-01-12,1,0.00023698950668847747
raw,NET,8204,2024-01-12,2,0.000229186825427244
raw,NET,8204,2024-01-12,3,0.00035967569784759666
raw,NET,8204,2024-01-12,4,0.0004079919154206808
raw,NET,8204,2024-01-12,5,0.0004669852174362524
raw,NET,8204,2024-01-12,6,0.00044478350864907357
raw,NET,8204,2024-01-12,7,0.00046445407833831955
raw,NET,8204,2024-01-12,8,0.000497687001198825
raw,NET,8204,2024-01-12,9,0.0005272390360319939
raw,NET,8204,2024-01-12,10,0.0005826468978203624
raw,NET,8204,2024-01-12,11,0.0005767757515696297
raw,NET,8204,2024-01-12,12,0.0005670809024319734
raw,NET,8204,2024-01-12,13,0.0005598809220264516
raw,NET,8204,2024-01-12,14,0.0005985022686588479
raw,NET,8204,2024-01-12,15,0.0006122502164207845
raw,NET,8204,2024-01-12,16,0.0006406313441265344
raw,NET,8204,2024-01-12,17,0.0006047988769354815
raw,NET,8204,2024-01-12,18,0.0006169404995994888
raw,NET,8204,2024-01-12,19,0.0006271921827791731
raw,NET,8204,2024-01-12,20,0.0006703491038787712
raw,NET,8204,2024-01-12,21,0.0007183932385947682
raw,NET,8204,2024-01-12,22,0.0008008360044535946
raw,NET,8204,2024-01-12,23,0.0008359915643689118
raw,NET,8204,2024-01-12,24,0.0008490270099143113
raw,NET,8204,2024-05-08,1,0.0002388388574092703
raw,NET,8204,2024-05-08,2,0.00020240202237344136
raw,NET,8204,2024-05-08,3,0.0002784874889815811
raw,NET,8204,2024-05-08,4,0.0002794947359361738
raw,NET,8204,2024-05-08,5,0.0002756306459950605
raw,NET,8204,2024-05-08,6,0.00031152378405394386
raw,NET,8204,2024-05-08,7,0.0003635514428614442
raw,NET,8204,2024-05-08,8,0.00029674767629338467
raw,NET,8204,2024-05-08,9,0.0003329189313003039
raw,NET,8204,2024-05-08,10,0.0003098745903482406
raw,NET,8204,2024-05-08,11,0.00029862298519248723
raw,NET,8204,2024-05-08,12,0.00032446783653224977
raw,NET,8204,2024-05-08,13,0.00039191049472273113
raw,NET,8204,2024-05-08,14,0.00032458243688504725
raw,NET,8204,2024-05-08,15,0.0003500018456324217
raw,NET,8204,2024-05-08,16,0.0003393755133702599
raw,NET,8204,2024-05-08,17,0.0003527982025840104
raw,NET,8204,2024-05-08,18,0.00041274133634994876
raw,NET,8204,2024-05-08,19,0.0004873643432483168
raw,NET,8204,2024-05-08,20,0.0004394840048002221
raw,NET,8204,2024-05-08,21,0.00045693821255402266
