variant,model,seed,event,lead_h,mse
raw,NET,8202,2024-05-26,21,0.004675735448007177
raw,NET,8202,2024-05-26,22,0.004994050105140866
raw,NET,8202,2024-05-26,23,0.005219625671876044
raw,NET,8202,2024-05-26,24,0.005252232440205317
raw,NET,8202,2024-06-26,1,0.00019085288013313313
raw,NET,8202,2024-06-26,2,0.00015277713358209622
raw,NET,8202,2024-06-26,3,0.00024119563349166254
raw,NET,8202,2024-06-26,4,0.00022779694288314266
raw,NET,8202,2024-06-26,5,0.0002988102834759798
raw,NET,8202,2024-06-26,6,0.000408541560037648
raw,NET,8202,2024-06-26,7,0.000330537962145237
raw,NET,8202,2024-06-26,8,0.0003420337659599601
raw,NET,8202,2024-06-26,9,0.00036185041068743245
raw,NET,8202,2024-06-26,10,0.00034305035561046937
raw,NET,8202,2024-06-26,11,0.0003534650513817101
raw,NET,8202,2024-06-26,12,0.0004523588806639172
raw,NET,8202,2024-06-26,13,0.0003559123321667032
raw,NET,8202,2024-06-26,14,0.00036857528009280035
raw,NET,8202,2024-06-26,15,0.0003861306744375354
raw,NET,8202,2024-06-26,16,0.0003718013765400859
raw,NET,8202,2024-06-26,17,0.00038458164207952556
raw,NET,8202,2024-06-26,18,0.00048490580767912545
raw,NET,8202,2024-06-26,19,0.0003812409555999959
raw,NET,8202,2024-06-26,20,0.00039309539521437283
raw,NET,8202,2024-06-26,21,0.00042078140705980053
raw,NET,8202,2024-06-26,22,0.00040460914074754144
raw,NET,8202,2024-06-26,23,0.000419111945677608
raw,NET,8202,2024-06-26,24,0.0005268211906315077
raw,NET,8202,2024-09-27,1,0.0007666165884760003
raw,NET,8202,2024-09-27,2,0.001591685089409376
raw,NET,8202,2024-09-27,3,0.0025973165894314742
raw,NET,8202,2024-09-27,4,0.003444425232058654
raw,NET,8202,2024-09-27,5,0.004610667169147696
raw,NET,8202,2024-09-27,6,0.005199683770204767
raw,NET,8202,2024-09-27,7,0.0057497887500906324
raw,NET,8202,2024-09-27,8,0.006346548061511969
raw,NET,8202,2024-09-27,9,0.007129515644595385
raw,NET,8202,2024-09-27,10,0.007660018394630781
raw,NET,8202,2024-09-27,11,0.008308692970979992
raw,NET,8202,2024-09-27,12,0.008693333657508769
raw,NET,8202,2024-09-27,13,0.00902979839899427
raw,NET,8202,2024-09-27,14,0.009243420641162193
raw,NET,8202,2024-09-27,15,0.009856500848944233
raw,NET,8202,2024-09-27,16,0.010255202126785472
raw,NET,8202,2024-09-27,17,0.010977022972322737
raw,NET,8202,2024-09-27,18,0.011347414612714535
raw,NET,8202,2024-09-27,19,0.011628837750388716
raw,NET,8202,2024-09-27,20,0.011993805411414031
raw,NET,8202,2024-09-27,21,0.013021648912221854
raw,NET,8202,2024-09-27,22,0.013560162719007993
raw,NET,8202,2024-09-27,23,0.014783788206998449
raw,NET,8202,2024-09-27,24,0.01519369336343421
raw,NET,8203,2024-01-09,1,0.0002699930423977747
raw,NET,8203,2024-01-09,2,0.0003181564588689793
raw,NET,8203,2024-01-09,3,0.00040569447827648396
raw,NET,8203,2024-01-09,4,0.0005949418557836624
raw,NET,8203,2024-01-09,5,0.0006418687029283487
raw,NET,8203,2024-01-09,6,0.0006805822302027467
raw,NET,8203,2024-01-09,7,0.0006291714907835361
raw,NET,8203,2024-01-09,8,0.0006625885003886786
raw,NET,8203,2024-01-09,9,0.000665929080125945
raw,NET,8203,2024-01-09,10,0.00082079391174897
raw,NET,8203,2024-01-09,11,0.0008578999612927558
raw,NET,8203,2024-01-09,12,0.0009025326140215482
raw,NET,8203,2024-01-09,13,0.000828312509218258
raw,NET,8203,2024-01-09,14,0.0008885551650083257
raw,NET,8203,2024-01-09,15,0.0008816685034747307
raw,NET,8203,2024-01-09,16,0.0010877528447484006
raw,NET,8203,2024-01-09,17,0.0011600730259632166
raw,NET,8203,2024-01-09,18,0.0012600060872968023
raw,NET,8203,2024-01-09,19,0.0011627275281865534
raw,NET,8203,2024-01-09,20,0.0012349602667498388
raw,NET,8203,2024-01-09,21,0.0012681960785812325
raw,NET,8203,2024-01-09,22,0.0016100066548733814
raw,NET,8203,2024-01-09,23,0.0018290635304251159
raw,NET,8203,2024-01-09,24,0.0020489325996356877
raw,NET,8203,2024-01-12,1,0.0002705737223445576
raw,NET,8203,2024-01-12,2,0.00023445737018158093
raw,NET,8203,2024-01-12,3,0.000395271098035788
raw,NET,8203,2024-01-12,4,0.0003946012883184602
raw,NET,8203,2024-01-12,5,0.00047644239667993883
raw,NET,8203,2024-01-12,6,0.00041441799008593857
raw,NET,8203,2024-01-12,7,0.0004770752436155026
raw,NET,8203,2024-01-12,8,0.00047355015475684405
raw,NET,8203,2024-01-12,9,0.0005435253564781812
raw,NET,8203,2024-01-12,10,0.0005489892703373643
raw,NET,8203,2024-01-12,11,0.0005721746955961058
raw,NET,8203,2024-01-12,12,0.0005290296509359332
raw,NET,8203,2024-01-12,13,0.000570374265053371
raw,NET,8203,2024-01-12,14,0.0005752128438394733
raw,NET,8203,2024-01-12,15,0.0006295978787456543
raw,NET,8203,2024-01-12,16,0.0006338756697240268
raw,NET,8203,2024-01-12,17,0.0006347035210705336
raw,NET,8203,2024-01-12,18,0.0006008324834703324
raw,NET,8203,2024-01-12,19,0.0006159386884251357
raw,NET,8203,2024-01-12,20,0.000627516491789507
raw,NET,8203,2024-01-12,21,0.0006901221957031307
raw,NET,8203,2024-01-12,22,0.000772086599731998
raw,NET,8203,2024-01-12,23,0.0008544864578272107
raw,NET,8203,2024-01-12,24,0.0008769259671279577
