event,fips,delta_path_seed_mean,n_origins
2024-01-12,17141,0.00011624991505052215,21
2024-01-12,17161,7.814690751108633e-05,21
2024-01-12,17165,0.00010807427008136027,21
2024-01-12,17177,9.183915690676796e-05,21
2024-01-12,17185,7.263063959915413e-05,21
2024-01-12,17187,8.812815049435039e-05,21
2024-01-12,17193,8.233956021113093e-05,21
2024-01-12,17195,0.00010088669569953217,21
2024-01-12,17197,0.00015871313827320947,21
2024-01-12,17201,9.829008548963074e-05,21
2024-01-12,18051,-6.93996346633793e-06,21
2024-01-12,18085,0.00015014266422620252,21
2024-01-12,18087,0.00018642847848892783,21
2024-01-12,18091,0.00016822138557098492,21
2024-01-12,18141,0.00016507314473577096,21
2024-01-12,18145,0.0001089960154361457,21
2024-01-12,18151,0.00018954844628184603,21
2024-01-12,18163,6.334307814786111e-05,21
2024-01-12,18173,4.1272273115208435e-05,21
2024-01-12,19001,0.00017444919619905597,21
2024-01-12,19027,1.974519490435063e-05,21
2024-01-12,19033,-3.105675439077994e-05,21
2024-01-12,19039,0.0001477727727919943,21
2024-01-12,19045,0.0001032472376102799,21
2024-01-12,19053,4.642124696833209e-05,21
2024-01-12,19055,-0.00012487356455540731,21
2024-01-12,19057,9.114397101548016e-05,21
2024-01-12,19061,3.0536364791876685e-05,21
2024-01-12,19065,-0.00027370808325713594,21
2024-01-12,19079,0.00015001699935445387,21
2024-01-12,19081,-4.733515418164826e-05,21
2024-01-12,19093,-8.881874767247453e-05,21
2024-01-12,19097,-8.363273547594885e-05,21
2024-01-12,19109,-4.817411592936057e-05,21
2024-01-12,19113,0.0002091629308388522,21
2024-01-12,19129,-0.00038153595782367217,21
2024-01-12,19147,-9.692616862850482e-05,21
2024-01-12,19155,-0.0002966221185045643,21
2024-01-12,19165,-0.00016419874917017664,21
2024-01-12,19173,2.054326025241155e-05,21
2024-01-12,19175,0.00018845831617419302,21
2024-01-12,19183,0.0002560721518973629,21
2024-01-12,19189,-6.574828372304909e-05,21
2024-01-12,19191,-0.0007134137817660327,21
2024-01-12,19195,-7.696839276768921e-05,21
2024-01-12,19197,3.420627220868732e-05,21
2024-01-12,21019,9.223716513913252e-05,21
2024-01-12,21033,0.00020159673877847672,21
2024-01-12,21035,0.00017570263701897502,21
2024-01-12,21043,8.782129275685282e-05,21
2024-01-12,21047,0.00016336842928298362,21
2024-01-12,21055,9.535951353019506e-05,21
2024-01-12,21075,0.000366439460160653,21
2024-01-12,21083,0.00019472734744690516,21
2024-01-12,21089,0.00010967971915340174,21
2024-01-12,21105,0.00027416711983802684,21
2024-01-12,21107,0.00016495874795134316,21
2024-01-12,21127,5.255147381643959e-05,21
2024-01-12,21143,0.0002700524068182284,21
2024-01-12,21145,0.0001498711700631298,21
2024-01-12,21149,-0.00012676392378312476,21
2024-01-12,21157,0.00024185361869999224,21
2024-01-12,21177,0.00019423650946247698,21
2024-01-12,21219,0.00023305031466944445,21
2024-01-12,21221,6.10218697874907e-06,21
2024-01-12,21233,7.222653610395318e-05,21
2024-01-12,22035,1.567661561879363e-05,21
2024-01-12,22111,0.00037200814192958165,21
2024-01-12,24023,0.00031619430640494314,21
2024-01-12,26005,0.0001964857359634705,21
2024-01-12,26007,0.00011476671867360246,21
2024-01-12,26011,0.0009565534178136645,21
2024-01-12,26017,0.00017417536097445247,21
2024-01-12,26021,0.0002085781589102406,21
2024-01-12,26023,0.0001855510710201627,21
2024-01-12,26025,0.0001708774191634701,21
2024-01-12,26027,0.0001676857426482671,21
2024-01-12,26031,4.845782763716263e-05,21
2024-01-12,26037,0.00015680697514605305,21
2024-01-12,26039,-0.0005421855650691227,21
2024-01-12,26041,0.00019399633503034165,21
2024-01-12,26043,-0.00017318693535083891,21
2024-01-12,26051,0.0009137691620428605,21
2024-01-12,26059,0.0001858966328915126,21
2024-01-12,26061,8.511779904770477e-05,21
2024-01-12,26065,0.00020889840831179478,21
2024-01-12,26067,0.0001458850567467518,21
2024-01-12,26073,4.512148233007729e-05,21
2024-01-12,26077,0.00013458556680655202,21
2024-01-12,26081,0.0001291429181015193,21
2024-01-12,26105,9.937837821463922e-05,21
2024-01-12,26117,9.130624228567371e-05,21
2024-01-12,26119,-0.00012384057096561876,21
2024-01-12,26125,0.00026770246575194014,21
2024-01-12,26127,9.442441107673148e-05,21
2024-01-12,26129,0.003757388414305944,21
2024-01-12,26135,-0.0009615106619611971,21
2024-01-12,26137,-0.00023466683970709568,21
2024-01-12,26145,0.00017246382746807827,21
2024-01-12,26149,0.00014356310918560756,21
2024-01-12,26159,0.00018281083012087302,21
2024-01-12,26161,0.00022547274316727555,21
2024-01-12,27013,-0.00015614177748556854,21
2024-01-12,27043,-9.113659663400592e-05,21
2024-01-12,27045,-0.0005619405362063962,21
2024-01-12,27049,-0.00021141095287083056,21
2024-01-12,27055,-0.00046149940392047506,21
2024-01-12,27079,-0.0002614200163134154,21
2024-01-12,27099,-0.00014825316799338704,21
2024-01-12,27109,-0.00017756965401206695,21
2024-01-12,27129,-0.00042136295866090814,21
2024-01-12,27139,-0.0004269526566618631,21
2024-01-12,27169,-0.00025510398587993705,21
2024-01-12,28007,-7.031705347638128e-05,21
2024-01-12,28011,6.213497642300975e-05,21
2024-01-12,28019,6.0583078717073806e-05,21
2024-01-12,28025,0.0002849488548259512,21
2024-01-12,28043,5.5681584755683624e-05,21
2024-01-12,28051,-4.925525484414427e-05,21
2024-01-12,28053,-4.2829377051212605e-05,21
2024-01-12,28055,6.574627010061724e-05,21
2024-01-12,28075,6.0260638148337025e-05,21
2024-01-12,28079,7.867518803902291e-05,21
2024-01-12,28083,8.663285619735328e-05,21
