variant,model,seed,group,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,NET,5105.0,117,3,4.209024853402327e-05,3.702727864737058e-05,4.183827943526641e-05,4.3152636958263175e-05,0.005361680686996145
raw,NET,5105.0,199,4,1.5950522533703025e-05,1.4102647757632595e-05,1.574721835371596e-05,1.6914207495166124e-05,0.03877497371188223
raw,NET,5105.0,250,4,4.7931655655355845e-06,2.7612814576382835e-06,4.903531951416531e-06,5.528217688211282e-06,0.12596389765159482
raw,NET,5105.0,492,7,0.0011778153576392585,0.0006798000551339703,0.0012064514090671138,0.001218442451829276,0.004468980021030494
raw,NET,5105.0,1087,22,3.604506037609461e-05,2.9096052417103068e-05,3.649988326594116e-05,3.612830823324565e-05,0.01569619698562916
raw,NET,5105.0,1113,22,4.838216636124745e-05,4.1592289688477e-05,4.9174016100688213e-05,4.5253232517090856e-05,0.01570715036803365
raw,NET,5105.0,1219,23,1.0493863213670802e-05,7.050189914046314e-06,1.0198963878645464e-05,1.1410140795423301e-05,0.1677346214511041
raw,NET,5105.0,1231,23,2.448374165858035e-05,1.2837428091011393e-05,2.433195818521249e-05,2.6408027088383215e-05,0.07857408867858395
raw,NET,5105.0,1319,25,0.0006112976420025063,0.0003826879525160329,0.000601691205866431,0.0006400493268999733,0.005580748335085875
raw,NET,5105.0,1348,25,0.00032391371947179665,0.00027802447567923,0.00032761539562828183,0.000322708838065299,0.0065610760602874164
raw,NET,5105.0,1389,26,5.110219207920747e-05,2.694675128616835e-05,4.937821828259843e-05,5.598157773438608e-05,0.020581405538030145
raw,NET,5105.0,1498,27,0.0001022516887026099,4.610727254574964e-05,9.414642981731717e-05,0.00011819429169888948,0.04948190501226779
raw,NET,5105.0,1603,28,2.297344703246238e-05,1.1531262064856896e-05,2.1185231853789075e-05,2.6592096515663522e-05,0.13012618296529968
raw,NET,5105.0,1635,28,3.191952225533999e-05,1.927771280238168e-05,2.896613017308983e-05,3.661535286366174e-05,0.05087846126883982
raw,NET,5105.0,1926,36,0.0001302290738442983,6.131311404930314e-05,0.00012881250572528265,0.00014222119730386679,0.005810769365580091
raw,NET,5105.0,1962,37,1.7731107765801935e-05,1.5366689655845305e-05,1.938564219443984e-05,1.595804765129817e-05,0.1262651156677182
raw,NET,5105.0,2001,37,0.00010826751441250993,0.00012097558275104345,0.00010652431949933184,0.00010858979895124925,0.07448300035050824
raw,NET,5105.0,2055,38,0.00023720323110318554,0.0002329665724757566,0.00023339144655698378,0.00024262118134827818,0.005044032597266036
raw,NET,5105.0,2075,38,7.422706869256549e-05,5.6380931333411134e-05,7.383452403695161e-05,7.781909767297101e-05,0.01569072029442692
raw,NET,5105.0,2242,41,5.009794611027044e-05,2.983105715890841e-05,4.865291177642108e-05,5.5000476800900745e-05,0.021118121275849982
raw,NET,5105.0,2512,42,0.00011798537886572439,8.16929374509684e-05,0.00012063661436193528,0.0001167340956538436,0.030883061689449702
raw,NET,5105.0,2543,43,4.7235748784638193e-05,3.6013983091132246e-05,4.7874864487380176e-05,4.7414281006461214e-05,0.156452637574483
raw,ASYM,5101.0,42,2,0.00018603843694369796,0.00013684103020861885,0.0001835213135869022,0.0001971357501926296,0.0
raw,ASYM,5101.0,46,2,0.00022327584990615275,0.00011962820070323794,0.00020923004457753364,0.0002476315132445668,0.0
raw,ASYM,5101.0,117,3,4.1865241664139214e-05,3.768674458349866e-05,4.1536381738607525e-05,4.2737557251797645e-05,0.0
raw,ASYM,5101.0,199,4,1.6134757179780096e-05,1.4450403733287691e-05,1.5539091797458135e-05,1.680848496064616e-05,0.0
raw,ASYM,5101.0,250,4,4.9609001008107445e-06,2.7056363112576993e-06,4.9325520391315935e-06,5.149012019738371e-06,0.0
raw,ASYM,5101.0,492,7,0.0011821520636643283,0.0007110555139440594,0.0012244209709452235,0.0012142682040849953,0.0
raw,ASYM,5101.0,1087,22,3.562392743212848e-05,2.8729101314689964e-05,3.6317250132996155e-05,3.538180512301391e-05,0.0
raw,ASYM,5101.0,1113,22,4.8075826202144354e-05,4.10978785073114e-05,4.923672743885583e-05,4.489381807858684e-05,0.0
raw,ASYM,5101.0,1219,23,1.0100013932400345e-05,7.148269647493408e-06,9.84724112637709e-06,1.0580380789751109e-05,0.0
raw,ASYM,5101.0,1231,23,2.4396669261843012e-05,1.3050401860189397e-05,2.4163674322956928e-05,2.584902726485554e-05,0.0
raw,ASYM,5101.0,1319,25,0.0006108879107723137,0.0003997359998213035,0.0005999745676472917,0.000637899870220769,0.0
raw,ASYM,5101.0,1348,25,0.00033058755926689747,0.00030511187731554584,0.0003408850250814864,0.00032583142313628947,0.0
raw,ASYM,5101.0,1389,26,5.109256301822259e-05,2.7727992155762973e-05,4.967598153576691e-05,5.540605620389265e-05,0.0
raw,ASYM,5101.0,1498,27,0.00010184457458359049,4.641175123390943e-05,9.511685254723584e-05,0.0001164956558685407,0.0
raw,ASYM,5101.0,1603,28,2.3093913380080507e-05,1.0911493084356052e-05,2.181638031173185e-05,2.6328418830221047e-05,0.0
raw,ASYM,5101.0,1635,28,3.185997782286927e-05,1.8977610143398172e-05,2.916680520802072e-05,3.6386258963445096e-05,0.0
raw,ASYM,5101.0,1926,36,0.00013262875494196845,6.209297913467064e-05,0.00013412677615878916,0.00014171332846742399,0.0
raw,ASYM,5101.0,1962,37,1.7561655139747265e-05,1.5664489178866452e-05,1.919770339802806e-05,1.5302775564314434e-05,0.0
raw,ASYM,5101.0,2001,37,0.0001067484117686521,0.00010835466438986253,0.00010617693416210739,0.0001076594313164747,0.0
raw,ASYM,5101.0,2055,38,0.0002360755411165552,0.00022089744559390063,0.0002332262675022795,0.00024202310460200526,0.0
raw,ASYM,5101.0,2075,38,7.385383198513114e-05,5.5593590294560154e-05,7.298779639405094e-05,7.70739352982737e-05,0.0
raw,ASYM,5101.0,2242,41,5.016969110455216e-05,2.995854672919528e-05,4.90794451271968e-05,5.447935245156228e-05,0.0
raw,ASYM,5101.0,2512,42,0.00011794030969898227,8.481000071736402e-05,0.00012078014764861427,0.0001158572877217329,0.0
raw,ASYM,5101.0,2543,43,4.698251736271094e-05,3.743056480324261e-05,4.7781134660417205e-05,4.702465039194994e-05,0.0
raw,ASYM,5102.0,42,2,0.0001857170644313152,0.0001360195773707164,0.00018335576743606124,0.00019919581869816267,0.0
raw,ASYM,5102.0,46,2,0.0002201981100402477,0.00011948939610202152,0.0002053592227135401,0.0002465375906804872,0.0
raw,ASYM,5102.0,117,3,4.162497138895904e-05,3.7050802188607166e-05,4.1171229670561496e-05,4.2991899532473914e-05,0.0
raw,ASYM,5102.0,199,4,1.5912652804165606e-05,1.386169394265664e-05,1.5367828087006105e-05,1.6900937601171565e-05,0.0
raw,ASYM,5102.0,250,4,5.044098130943208e-06,2.8184363223491015e-06,4.9036485784933406e-06,5.46117719901449e-06,0.0
raw,ASYM,5102.0,492,7,0.0011812907393957143,0.0007083500499444619,0.0012204140158571402,0.0012200543330940416,0.0
raw,ASYM,5102.0,1087,22,3.54891238899913e-05,2.8162355894832263e-05,3.591661823499092e-05,3.562024353497621e-05,0.0
raw,ASYM,5102.0,1113,22,4.792721562581064e-05,4.05274079580901e-05,4.88013438480036e-05,4.480298683004714e-05,0.0
raw,ASYM,5102.0,1219,23,1.0119749459067939e-05,7.294942343303871e-06,9.908260529452213e-06,1.0610538274104353e-05,0.0
raw,ASYM,5102.0,1231,23,2.426296422041591e-05,1.3005866987184517e-05,2.3913798214292233e-05,2.601883154761662e-05,0.0
raw,ASYM,5102.0,1319,25,0.0006112261157499555,0.00039308050972414486,0.0006028064568166863,0.0006378950217205032,0.0
raw,ASYM,5102.0,1348,25,0.00032776457871011,0.0002875370965350117,0.000336301627696815,0.00032370741335721256,0.0
raw,ASYM,5102.0,1389,26,5.121451085077544e-05,2.745218467818362e-05,4.952089468925993e-05,5.591518017246509e-05,0.0
raw,ASYM,5102.0,1498,27,0.00010247868899472487,4.6402908328753746e-05,9.62825093893683e-05,0.00011652211840514208,0.0
raw,ASYM,5102.0,1603,28,2.320239271680953e-05,1.1151327573666789e-05,2.202755680470822e-05,2.6215254148271095e-05,0.0
raw,ASYM,5102.0,1635,28,3.1890681370301e-05,1.8670633268397416e-05,2.9309592832554602e-05,3.616681291053206e-05,0.0
raw,ASYM,5102.0,1926,36,0.00013157642352307653,6.158219733739813e-05,0.00013204194043005024,0.00014261233046267006,0.0
raw,ASYM,5102.0,1962,37,1.732405099416786e-05,1.5251766296837933e-05,1.8900839579659324e-05,1.5253117250923871e-05,0.0
raw,ASYM,5102.0,2001,37,0.0001065300366600939,0.00010379075786822859,0.00010598299352272495,0.00010782086864783546,0.0
raw,ASYM,5102.0,2055,38,0.00023690478894883207,0.0002239693802536299,0.0002340801248030039,0.00024204437656611785,0.0
raw,ASYM,5102.0,2075,38,7.424835603837893e-05,5.4484035213542506e-05,7.41779863277801e-05,7.728382844541187e-05,0.0
raw,ASYM,5102.0,2242,41,5.011033054477466e-05,2.9875693478458764e-05,4.892991183334187e-05,5.456141126904696e-05,0.0
raw,ASYM,5102.0,2512,42,0.00011801106689533009,8.6581591407306e-05,0.00012076173854634591,0.00011586913713160365,0.0
raw,ASYM,5102.0,2543,43,4.686971859735247e-05,3.6843368408851826e-05,4.7564800950266215e-05,4.6857097249866026e-05,0.0
raw,ASYM,5103.0,42,2,0.00020635446245241868,0.0001365293977257802,0.00020364758468485435,0.00022355980620595835,0.0
