variant,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,22,4.228270202820868e-05,3.49189472986637e-05,4.29472249386998e-05,4.0701297909664706e-05,0.02916338065194532,4.1784530353724396e-05,3.440942614094345e-05,4.2663804092714506e-05,4.026716668188318e-05,0.0,4.981716744842783e-07,5.09521157720254e-07,2.8342084598529564e-07,4.341312277815265e-07,0.02916338065194532
raw,23,1.7595565319849404e-05,9.917096346764124e-06,1.7343038274514458e-05,1.8765430236436993e-05,0.15860169120224327,1.7277356799504883e-05,1.0192880110096818e-05,1.7193471645204882e-05,1.8323343422123998e-05,0.0,3.182085203445235e-07,-2.7578376333269484e-07,1.495666293095721e-07,4.4208681431299296e-07,0.15860169120224327
raw,25,0.0004664723841679275,0.0003262815232619744,0.00046479668786538543,0.00047961872560550067,0.0047597923238696105,0.00046915835800987496,0.0003374912715580295,0.0004690476074099907,0.0004816470272924569,0.0,-2.6859738419474827e-06,-1.1209748296055113e-05,-4.250919544605185e-06,-2.0283016869562016e-06,0.0047597923238696105
raw,26,5.147500185379299e-05,2.7115954906641326e-05,4.987930714402464e-05,5.611153091412697e-05,0.00975617770767613,5.135108559632931e-05,2.7793488302984523e-05,4.992282884328559e-05,5.608877358318498e-05,0.0,1.2391625746367967e-07,-6.775333963431971e-07,-4.352169926095413e-08,2.2757330941992655e-08,0.00975617770767613
raw,27,0.00010310388002376044,4.657602887949439e-05,9.554599322853584e-05,0.0001186541451083418,0.051564143007360674,0.00010240725334610042,4.6217543538042125e-05,9.599540399695601e-05,0.00011700431910305544,0.0,6.966266776600282e-07,3.5848534145226966e-07,-4.4941076842016855e-07,1.6498260052863565e-06,0.051564143007360674
raw,28,2.7716874852124433e-05,1.529009710167981e-05,2.5467631440800257e-05,3.165059063445994e-05,0.09456876533473538,2.754808983448002e-05,1.4962836583874717e-05,2.569537611096467e-05,3.12785470578563e-05,0.0,1.6878501764442044e-07,3.2726051780509333e-07,-2.2774467016441044e-07,3.7204357660363717e-07,0.09456876533473538
raw,36,0.00013093696041040234,6.188379885935534e-05,0.00012981211526026036,0.00014228354310187371,0.004056037504381353,0.00013230249696318178,6.249800877495251e-05,0.0001333193697666533,0.00014287801053253896,0.0,-1.3655365527794506e-06,-6.142099155971706e-07,-3.5072545063929354e-06,-5.944674306652368e-07,0.004056037504381353
raw,37,6.299814890850016e-05,6.579645484569174e-05,6.310606167045816e-05,6.229924088044734e-05,0.08385416666666667,6.212626145572519e-05,5.94517103942484e-05,6.282568642240719e-05,6.169964358685389e-05,0.0,8.71887452774973e-07,6.344744451443339e-06,2.803752480509821e-07,5.995972935934549e-07,0.08385416666666667
raw,38,0.0001557454867657022,0.00014075583229257294,0.00015368030845608886,0.00016080933050593204,0.011523505958640028,0.00015579325432795306,0.00013808001020387963,0.00015440914011102813,0.00016024500912038166,0.0,-4.776756225083811e-08,2.67582208869333e-06,-7.288316549392915e-07,5.643213855503673e-07,0.011523505958640028
raw,41,5.02727374200725e-05,2.9511693813918406e-05,4.883013922159106e-05,5.508079535170022e-05,0.03538271118121276,5.047383637488095e-05,3.011780015949726e-05,4.949638051614715e-05,5.472584221730076e-05,0.0,-2.0109895480845487e-07,-6.061063455788545e-07,-6.662412945561004e-07,3.549531343994522e-07,0.03538271118121276
raw,42,0.00011805024992948817,8.218495889648786e-05,0.0001206299658450658,0.00011684997110237526,0.02679745005257624,0.0001179114564334725,8.550229318536678e-05,0.00012071340967724441,0.00011604647761215795,0.0,1.387934960156705e-07,-3.3173342888789113e-06,-8.344383217861605e-08,8.034934902173118e-07,0.02679745005257624
