variant,seed,group,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,5103.0,42,2,0.00018456256829334986,0.00012881631115815628,0.00018045773833448312,0.00019971698942386167,0.00014787066246056783,0.00020635446245241868,0.0001365293977257802,0.00020364758468485435,0.00022355980620595835,0.0,-2.1791894159068817e-05,-7.713086567623904e-06,-2.3189846350371227e-05,-2.3842816782096676e-05,0.00014787066246056783
raw,5103.0,46,2,0.00022038677607130467,0.00011455802544233084,0.00020812919329485987,0.000246494124907307,0.00015334735366281108,0.00023982404874532166,0.00011948263677372962,0.00022858165739824231,0.0002689758056660228,0.0,-1.943727267401699e-05,-4.924611331398775e-06,-2.0452464103382447e-05,-2.2481680758715814e-05,0.00015334735366281108
raw,5103.0,117,3,4.2763088024200996e-05,3.677968623351595e-05,4.2239731429377094e-05,4.4464232959333884e-05,0.0014677532422011916,4.3875964581721337e-05,3.752306575684389e-05,4.430651194419267e-05,4.562896280012709e-05,0.0,-1.1128765575203403e-06,-7.433795233279422e-07,-2.066780514815577e-06,-1.1647298407932064e-06,0.0014677532422011916
raw,5103.0,199,4,1.617259173795427e-05,1.3768316247941345e-05,1.5410732107051265e-05,1.7149272415825267e-05,0.0012596389765159482,1.70098897212266e-05,1.414108627744255e-05,1.797033452144093e-05,1.7925047460332636e-05,0.0,-8.3729798327233e-07,-3.727700295012043e-07,-2.5596024143896636e-06,-7.757750445073684e-07,0.0012596389765159482
raw,5103.0,250,4,5.5860818901494004e-06,2.733250157498931e-06,5.148473793385945e-06,5.8773831282610204e-06,0.005668375394321767,5.824759309783218e-06,3.1041981699737646e-06,6.577284240896195e-06,6.524638180373235e-06,0.0,-2.3867741963381726e-07,-3.7094801247483376e-07,-1.4288104475102502e-06,-6.472550521122146e-07,0.005668375394321767
raw,5103.0,492,7,0.0011793486335065194,0.0006820343413145046,0.0012054694455789464,0.0012191858161637705,0.0013417893445495969,0.0011997639145593984,0.0008240673197566393,0.001230728846880997,0.0012384196293560947,0.0,-2.0415281052879077e-05,-0.00014203297844213466,-2.5259401302050533e-05,-1.9233813192324253e-05,0.0013417893445495969
raw,5103.0,1087,22,3.6883704245899565e-05,2.8864951662511155e-05,3.714571617013661e-05,3.698097179023802e-05,0.001971608832807571,3.676687779623131e-05,2.8630794136971252e-05,3.7933540180743835e-05,3.74405019614137e-05,0.0,1.168264496682531e-07,2.341575255399024e-07,-7.878240106072226e-07,-4.595301711756821e-07,0.001971608832807571
raw,5103.0,1113,22,4.910568089764015e-05,4.1379243032216745e-05,4.993829892073166e-05,4.616427311197268e-05,0.005049509288468279,4.8392559659391855e-05,4.071670904475254e-05,4.9446211546497124e-05,4.558957937736099e-05,0.0,7.131212382482935e-07,6.62533987464206e-07,4.920873742345376e-07,5.746937346116926e-07,0.005049509288468279
raw,5103.0,1219,23,1.0808615646057324e-05,6.980241723086673e-06,1.0101382962283855e-05,1.1312299484871748e-05,0.20132864528566422,1.0142043265471074e-05,7.114329635774295e-06,1.003254143032278e-05,1.0644845677090123e-05,0.0,6.6657238058625e-07,-1.3408791268762167e-07,6.884153196107584e-08,6.674538077816249e-07,0.20132864528566422
raw,5103.0,1231,23,2.515932967258145e-05,1.2767584177102811e-05,2.4676027051456028e-05,2.651513089380532e-05,0.08676721871713985,2.5259462351857134e-05,1.3333888574789377e-05,2.594883659743965e-05,2.7257117047981232e-05,0.0,-1.0013267927568356e-07,-5.663043976865657e-07,-1.2728095459836214e-06,-7.419861541759129e-07,0.08676721871713985
