variant,seed,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,5105.0,27,0.0001022516887026099,4.610727254574964e-05,9.414642981731717e-05,0.00011819429169888948,0.04948190501226779,0.00010129091506875673,4.586562413558622e-05,9.568479202119062e-05,0.00011543342949456042,0.0,9.607736338531643e-07,2.416484101634185e-07,-1.5383622038734457e-06,2.7608622043290586e-06,0.04948190501226779
raw,5105.0,28,2.7446484643901184e-05,1.540448743361929e-05,2.5075681013439454e-05,3.160372468966263e-05,0.09050232211706975,2.740943461689912e-05,1.4926212121199755e-05,2.5640792378824042e-05,3.103419026447497e-05,0.0,3.7050027002065195e-08,4.782753124195341e-07,-5.65111365384588e-07,5.695344251876577e-07,0.09050232211706975
raw,5105.0,36,0.0001302290738442983,6.131311404930314e-05,0.00012881250572528265,0.00014222119730386679,0.005810769365580091,0.00013205921798603083,6.390849066408713e-05,0.00013319044216749692,0.0001422161905678658,0.0,-1.8301441417325408e-06,-2.595376614783994e-06,-4.377936442214261e-06,5.006736000995934e-09,0.005810769365580091
raw,5105.0,37,6.299931108915593e-05,6.817113620344438e-05,6.295498084688584e-05,6.227392330127371e-05,0.10037405800911323,6.191409302932439e-05,5.79063773608292e-05,6.269810957442797e-05,6.147869327435319e-05,0.0,1.085218059831538e-06,1.0264758842615178e-05,2.56871272457873e-07,7.952300269205206e-07,0.10037405800911323
raw,5105.0,38,0.0001557151498978755,0.00014467375190458387,0.00015361298529696768,0.0001602201395106246,0.010367376445846477,0.00015499342550547664,0.0001362057834009853,0.0001537682401975357,0.0001595440560459794,0.0,7.21724392398871e-07,8.467968503598567e-06,-1.5525490056802062e-07,6.760834646452074e-07,0.010367376445846477
raw,5105.0,41,5.009794611027044e-05,2.983105715890841e-05,4.865291177642108e-05,5.5000476800900745e-05,0.021118121275849982,5.036038252908721e-05,3.021302484231015e-05,4.96507051937966e-05,5.41154770894833e-05,0.0,-2.6243641881676676e-07,-3.819676834017406e-07,-9.977934173755187e-07,8.849997114174427e-07,0.021118121275849982
raw,5105.0,42,0.00011798537886572439,8.16929374509684e-05,0.00012063661436193528,0.0001167340956538436,0.030883061689449702,0.00011789560504671513,8.822117031345276e-05,0.00012043853686877344,0.00011579194952803312,0.0,8.977381900925508e-08,-6.528232862484357e-06,1.9807749316184454e-07,9.421461258104727e-07,0.030883061689449702
raw,5105.0,43,4.7235748784638193e-05,3.6013983091132246e-05,4.7874864487380176e-05,4.7414281006461214e-05,0.156452637574483,4.6776780606209454e-05,3.744629603390922e-05,4.7379900878362856e-05,4.68636251199645e-05,0.0,4.5896817842873986e-07,-1.4323129427769736e-06,4.949636090173192e-07,5.506558864967119e-07,0.156452637574483
output_clip_01,5101.0,2,0.00020138041532636095,0.00011819012280278936,0.00019485536031446502,0.0002200404024171217,0.0,0.00020465714342492535,0.0001282346154559284,0.0001963756790822179,0.0002223836317185982,0.0,-3.2767280985644047e-06,-1.0044492653139042e-05,-1.5203187677528883e-06,-2.3432293014765163e-06,0.0
output_clip_01,5101.0,3,4.124999159029104e-05,3.516167480501242e-05,4.1128830802559944e-05,4.247675630465329e-05,0.0,4.1865241664139214e-05,3.768674458349866e-05,4.1536381738607525e-05,4.2737557251797645e-05,0.0,-6.152500738481717e-07,-2.5250697784862393e-06,-4.0755093604758126e-07,-2.608009471443567e-07,0.0
