fips,event,n_events
16005,2019-02-20;2019-11-27;2024-01-12,3
16007,2019-02-24;2019-11-27;2024-01-12,3
16009,2019-02-24;2021-02-15,2
16011,2019-02-20;2019-11-27;2024-01-12,3
16013,2019-11-27;2024-01-12,2
16015,2024-06-26,1
16017,2019-11-27;2024-01-12,2
16019,2019-11-27;2024-01-12,2
16021,2019-11-27;2024-01-12,2
16023,2019-02-24;2019-11-27;2024-01-12,3
16025,2019-11-27,1
16027,2019-11-27,1
16029,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
16031,2024-01-12,1
16033,2019-02-24;2019-11-27;2024-01-12,3
16035,2019-02-24;2021-02-15,2
16039,2019-02-20;2019-11-27;2024-01-09,3
16041,2019-02-24;2019-11-27;2024-01-12,3
16043,2019-02-24;2019-11-27;2020-02-06;2024-01-12;2024-06-26,5
16045,2019-11-27,1
16049,2019-02-20;2019-02-24;2021-02-15;2024-06-26,4
16051,2019-11-27;2024-01-12,2
16053,2024-01-09,1
16055,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
16057,2019-02-24;2021-02-15,2
16059,2019-02-24;2020-02-06,2
16061,2019-02-20,1
16063,2024-01-12,1
16065,2024-01-12,1
16067,2024-01-12,1
16069,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
16071,2019-11-27;2024-01-12,2
16073,2019-02-20;2019-11-27,2
16075,2019-11-27;2024-06-26,2
16077,2019-02-20;2019-11-27;2024-01-12,3
16079,2019-02-24;2021-02-15,2
16081,2019-11-27;2024-01-12,2
16087,2019-11-27;2024-01-12,2
17003,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
17009,2019-11-27,1
17013,2019-11-27;2021-02-15,2
17033,2021-02-15;2024-09-27,2
17039,2019-11-27;2021-02-15,2
17041,2019-11-27;2021-02-15,2
17057,2019-11-27;2024-06-26,2
17059,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-08,5
17069,2019-02-24;2019-11-27;2021-02-15;2024-05-08,4
17071,2019-11-27;2021-12-15;2024-01-12,3
17079,2021-02-15,1
17095,2019-11-27;2024-01-12;2024-06-26,3
17123,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
17133,2019-11-27;2021-02-15;2024-05-08;2024-05-26,4
17143,2019-11-27;2024-06-26,2
17147,2019-11-27;2021-02-15,2
17151,2019-02-24;2019-11-27;2021-02-15,3
17153,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
17155,2019-02-24;2019-11-27;2024-01-12,3
17175,2019-11-27;2024-01-12;2024-06-26,3
17199,2019-02-24;2019-11-27;2021-02-15;2024-05-08;2024-05-26;2024-09-27,6
18001,2019-02-20;2019-02-24;2019-11-27;2021-02-15,4
18005,2021-02-15;2024-09-27,2
18007,2019-02-24;2021-02-15,2
18009,2019-02-20;2019-02-24;2019-11-27;2021-02-15,4
18011,2019-11-27;2021-02-15;2024-09-27,3
18031,2021-02-15;2024-05-08;2024-09-27,3
18047,2019-02-20;2021-02-15;2024-05-08;2024-09-27,4
18059,2019-11-27;2021-02-15;2024-09-27,3
18061,2018-01-16;2021-02-15;2024-09-27,3
18065,2019-11-27;2021-02-15;2024-09-27,3
18109,2021-02-15;2024-05-08;2024-09-27,3
18111,2019-02-24;2021-02-15,2
18113,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12,5
18117,2021-02-15;2024-09-27,2
18123,2018-01-16;2021-02-15;2024-05-08,3
18125,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
18129,2019-02-24;2019-11-27;2020-10-29;2021-02-15;2024-01-12;2024-05-08,6
18143,2021-02-15,1
18147,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
18153,2021-02-15;2024-09-27,2
18155,2022-01-16;2024-09-27,2
18157,2019-11-27;2021-02-15,2
18159,2019-11-27;2021-02-15,2
18161,2020-02-06;2021-02-15;2024-09-27,3
18165,2019-11-27;2021-02-15,2
18169,2019-02-20;2019-02-24;2019-11-27;2021-02-15,4
18175,2021-02-15,1
19003,2018-01-16;2019-02-24;2024-01-12,3
19005,2024-01-12,1
19007,2024-01-12,1
19009,2018-01-16;2019-02-24;2021-12-15;2024-01-12;2024-06-26,5
19011,2024-01-12,1
19013,2019-02-20;2024-01-12;2024-05-08,3
19015,2018-01-16;2019-02-20;2019-02-24;2021-12-15;2024-01-12;2024-05-08,6
19017,2019-02-20;2019-02-24;2024-01-12,3
19019,2019-02-24;2021-12-15,2
19021,2021-12-15;2024-01-12,2
19023,2019-02-20;2019-02-24;2024-01-12,3
19025,2019-02-24;2021-12-15;2024-01-12,3
19029,2018-01-16;2019-02-24;2021-12-15;2024-01-12,4
19031,2019-02-24;2024-01-12,2
19035,2021-12-15;2024-01-12;2024-05-08,3
19037,2019-02-20;2019-02-24;2024-01-12,3
19041,2018-01-16;2021-12-15;2024-01-12,3
19043,2024-01-12;2024-06-26,2
19047,2018-01-16;2019-02-24;2021-12-15;2024-01-12,4
