model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,oob
SR,5102,4,1.247908721818403e-05,9.085998631137275e-06,1.1327671651264308e-05,1.419062456866338e-05,0.0
SR,5102,7,0.0012107687977556641,0.0008737825329630988,0.001270912050481783,0.001225543100373028,0.0
SR,5102,22,4.312653144081039e-05,3.520541450097702e-05,4.3865957267366694e-05,4.1353321152987635e-05,0.0
SR,5102,23,1.771563241506042e-05,1.004772458304927e-05,1.7478494504609537e-05,1.8788866108680022e-05,0.0
SR,5102,25,0.0004930433815220945,0.000354318537699647,0.0004906918493681569,0.0005045758336001476,0.0
SR,5102,26,5.320219739889772e-05,2.8414666713143674e-05,5.1114912882780645e-05,5.810142215070688e-05,0.0
SR,5102,27,0.0001077970105319816,4.81002274463259e-05,9.922986153300128e-05,0.00012404007261422034,0.0
SR,5102,28,2.867837339094102e-05,1.5510389153140233e-05,2.573102568913588e-05,3.3207648737950806e-05,0.0
SR,5102,36,0.00013568681739165486,6.558014788917102e-05,0.00013146822096010878,0.00014832477705358136,0.0
SR,5102,37,6.394438686286962e-05,7.114447795370542e-05,6.393228252710327e-05,6.237143174065781e-05,0.0
SR,5102,38,0.0001615583173439859,0.00015098087108275987,0.00015851633998237497,0.0001650940631525915,0.0
SR,5102,41,5.370273948861142e-05,3.189010558547027e-05,5.2532762805205284e-05,5.781482560978698e-05,0.0
SR,5102,42,0.00012058104396362871,8.106647001223136e-05,0.00012306295640587483,0.00011944060539312472,0.0
SR,5102,43,4.8130481035350294e-05,3.699698966582139e-05,4.877070091426892e-05,4.828301608769288e-05,0.0
SR,5103,2,0.00024399436950453383,0.0001370556610070532,0.00023222820176947213,0.0002730492611318487,0.0
SR,5103,3,4.433674144059577e-05,3.664210334856471e-05,4.383941750412768e-05,4.5830532622446446e-05,0.0
SR,5103,4,1.2505554275789208e-05,9.395944401708087e-06,1.1448738686031667e-05,1.4100044048121062e-05,0.0
SR,5103,7,0.0012107547057886186,0.0007953751215802341,0.0012791671051646824,0.001229609949757604,0.0
SR,5103,22,4.328585405575594e-05,3.592323141315455e-05,4.4048044206680873e-05,4.1352487639715594e-05,0.0
SR,5103,23,1.770089682548306e-05,1.0172945699281435e-05,1.750451988899428e-05,1.876977594127259e-05,0.0
SR,5103,25,0.0004929220383311321,0.00035745155583121683,0.0004888149126326117,0.0005051998049157096,0.0
SR,5103,26,5.31105504997047e-05,2.842534819891785e-05,5.0973634421409756e-05,5.805767198307857e-05,0.0
SR,5103,27,0.00010679122855591921,4.836250752128768e-05,9.797063000926268e-05,0.00012335895478362877,0.0
SR,5103,28,2.860293796712283e-05,1.5709867996472714e-05,2.5521320381018026e-05,3.31984295552544e-05,0.0
SR,5103,36,0.00013579608358300758,6.478818327969454e-05,0.0001330125837464156,0.00014844437903930539,0.0
SR,5103,37,6.427064692907672e-05,7.369560496884191e-05,6.412060013817717e-05,6.236816452021048e-05,0.0
SR,5103,38,0.00016275108168287746,0.00015824410031481745,0.0001605281582668396,0.00016498687978545238,0.0
SR,5103,41,5.350954353372509e-05,3.20073480933444e-05,5.241174818968911e-05,5.785041482749111e-05,0.0
SR,5103,42,0.00012101259187663181,8.331800705783106e-05,0.00012349923633355744,0.00011948782805210986,0.0
SR,5103,43,4.857176516170083e-05,3.805097229888222e-05,4.9441741575353747e-05,4.8275394476245635e-05,0.0
SR,5104,2,0.0002446300639205249,0.00013902900276322827,0.00023334000065537377,0.00028136328833070975,0.0
SR,5104,3,4.4398117935950066e-05,3.6914991211090345e-05,4.3999684609411536e-05,4.582212537377375e-05,0.0
SR,5104,4,1.2303426401211497e-05,9.174952244528218e-06,1.1214225170470087e-05,1.3942128972432848e-05,0.0
SR,5104,7,0.001230296185548075,0.0007650686668934938,0.0012917444959490577,0.0012795046163804242,0.0
SR,5104,22,4.319926099081235e-05,3.538470201169511e-05,4.404583291300688e-05,4.135347739917598e-05,0.0
SR,5104,23,1.7782643406700622e-05,1.0123441766127698e-05,1.756436663855594e-05,1.8854120341346862e-05,0.0
SR,5104,25,0.0004911335185718167,0.0003552400602286061,0.0004855141103802563,0.0005039719128719962,0.0
SR,5104,26,5.3206089872734504e-05,2.830473169910692e-05,5.121735055001964e-05,5.809153595486315e-05,0.0
SR,5104,27,0.00010941413478197819,4.808361179853149e-05,9.91783841907709e-05,0.0001300929218157236,0.0
SR,5104,28,2.864340871774457e-05,1.536953843266152e-05,2.5686226986274548e-05,3.321988005703287e-05,0.0
SR,5104,36,0.00013572888435902047,6.482788976084159e-05,0.00013341885927643815,0.0001487042258807033,0.0
SR,5104,37,6.363009429802462e-05,6.866508294793111e-05,6.37481616757972e-05,6.236854726891662e-05,0.0
SR,5104,38,0.0001617836761908438,0.00015379363036838075,0.00015916751670453383,0.00016493870524300728,0.0
SR,5104,41,5.411879491882628e-05,3.202926917174704e-05,5.3133091204391974e-05,5.849847454503122e-05,0.0
SR,5104,42,0.00012088540396971471,8.362654443240639e-05,0.00012352220107603388,0.000119298982116435,0.0
SR,5104,43,4.825860075821741e-05,3.768806202883733e-05,4.898145113643047e-05,4.827758107979392e-05,0.0
SR,5105,2,0.0002379617296626874,0.00013746209338220004,0.0002273488705798399,0.00026942247058158705,0.0
SR,5105,3,4.445348170010565e-05,3.7263246216970944e-05,4.402330662094141e-05,4.582093341968802e-05,0.0
SR,5105,4,1.2464379310500782e-05,9.289560581118607e-06,1.1346659931546344e-05,1.4089894065774177e-05,0.0
SR,5105,7,0.001207183826648596,0.0007878176453460819,0.0012825151200631089,0.0012237260350204456,0.0
SR,5105,22,4.3197179965827925e-05,3.543047210162358e-05,4.402485840469118e-05,4.135298507710365e-05,0.0
SR,5105,23,1.79994317196544e-05,1.009013874980346e-05,1.768387271963547e-05,1.9157700680640827e-05,0.0
SR,5105,25,0.0004922389298814159,0.00035063403185226524,0.0004932364320057266,0.0005041986164421346,0.0
SR,5105,26,5.3153762238753924e-05,2.8581831819253675e-05,5.121728110788278e-05,5.798794947895048e-05,0.0
SR,5105,27,0.00010618607482512074,4.7650770515949594e-05,9.775587145842673e-05,0.00012389818595565333,0.0
SR,5105,28,2.8362299808690722e-05,1.5534026056468022e-05,2.533570635808031e-05,3.308183024346654e-05,0.0
SR,5105,36,0.00013777347398349324,6.479744357602308e-05,0.00013645010573314642,0.00014922396235212207,0.0
SR,5105,37,6.412091429408535e-05,7.324788519683368e-05,6.387617808786039e-05,6.237115625179986e-05,0.0
SR,5105,38,0.00016171998417582675,0.00015569679879662228,0.00015864613111113608,0.00016491767699983943,0.0
SR,5105,41,5.377218679094449e-05,3.146862989917864e-05,5.2437131783118245e-05,5.838438124790398e-05,0.0
SR,5105,42,0.00012112252082634436,8.510603815701128e-05,0.00012403625820041743,0.00011926597637602772,0.0
SR,5105,43,4.8329844210594535e-05,3.791737194274974e-05,4.892564326972073e-05,4.827923946554206e-05,0.0
ASYM_STEP_ONLY,5101,2,0.00020703556472270293,0.00012092692236364996,0.00020199887679727118,0.00022459911411749092,0.0
ASYM_STEP_ONLY,5101,3,4.119761369929784e-05,3.647912651273196e-05,4.105114752793176e-05,4.225500867850053e-05,0.0
ASYM_STEP_ONLY,5101,4,1.1280099804708903e-05,8.737982244081455e-06,1.1396741307568462e-05,1.1795060779444015e-05,0.0
ASYM_STEP_ONLY,5101,7,0.0011746484933711145,0.0007272244534365593,0.0012146601112447638,0.001210292553369386,0.0
ASYM_STEP_ONLY,5101,22,4.169158281800963e-05,3.397002243303333e-05,4.2424743789603935e-05,4.0185931506369587e-05,0.0
