model,config_id,lr,parameter_target,parameters,width,fit,val,seed,objective,signed_init,steps,best_update,best_val_mse_path,state_scale,source_mean,wall_seconds,sampler_state_final
NET,p8192_lr0.0003,0.0003,8192,8093,37,fold_A_fit,fold_A_val,4102,path,,3000,1250,9.99855803682398e-05,0.018871417918737487,0.003022984057704312,62.11,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
NET,p8192_lr0.0003,0.0003,8192,8093,37,fold_B_fit,fold_B_val,4102,path,,3000,3000,0.00015849598091588468,0.016475858531262894,0.002517923018037332,59.85,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
NET,p8192_lr0.0003,0.0003,8192,8093,37,fold_A_fit,fold_A_val,4103,path,,3000,750,9.960119236242167e-05,0.018871417918737487,0.003022984057704312,78.61,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
NET,p8192_lr0.0003,0.0003,8192,8093,37,fold_B_fit,fold_B_val,4103,path,,3000,2250,0.00015852939608657454,0.016475858531262894,0.002517923018037332,70.17,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
ASYM,p32768_lr0.001,0.001,32768,32716,112,fold_A_fit,fold_A_val,4102,path,,3000,1000,9.929403176105748e-05,0.018871417918737487,0.003022984057704312,69.52,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
ASYM,p32768_lr0.001,0.001,32768,32716,112,fold_B_fit,fold_B_val,4102,path,,3000,1250,0.0001593116672540238,0.016475858531262894,0.002517923018037332,66.93,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
ASYM,p32768_lr0.001,0.001,32768,32716,112,fold_A_fit,fold_A_val,4103,path,,3000,1500,9.907949168052242e-05,0.018871417918737487,0.003022984057704312,67.7,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
ASYM,p32768_lr0.001,0.001,32768,32716,112,fold_B_fit,fold_B_val,4103,path,,3000,500,0.00015885884482107437,0.016475858531262894,0.002517923018037332,66.85,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
ASYM,p8192_lr0.001,0.001,8192,8266,37,fold_A_fit,fold_A_val,4102,path,,3000,500,9.947629297784208e-05,0.018871417918737487,0.003022984057704312,46.26,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
ASYM,p8192_lr0.001,0.001,8192,8266,37,fold_B_fit,fold_B_val,4102,path,,3000,750,0.00015915094293555477,0.016475858531262894,0.002517923018037332,49.55,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
ASYM,p8192_lr0.001,0.001,8192,8266,37,fold_A_fit,fold_A_val,4103,path,,3000,2250,9.872938379344598e-05,0.018871417918737487,0.003022984057704312,45.62,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
ASYM,p8192_lr0.001,0.001,8192,8266,37,fold_B_fit,fold_B_val,4103,path,,3000,1500,0.00015858249647957316,0.016475858531262894,0.002517923018037332,43.63,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
