model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,oob
NET,5102.0,22,4.231026577165549e-05,3.5543822992269415e-05,4.294750526638774e-05,4.0527886818638855e-05,0.016041228531370487
NET,5102.0,23,1.723607277015476e-05,9.96740426410852e-06,1.7203153483263836e-05,1.8618260671454237e-05,0.07674487381703471
NET,5102.0,25,0.0004674470264365511,0.0003285911317069294,0.0004618344372953239,0.0004803723960903185,0.005493121275849982
NET,5102.0,26,5.1081011835206244e-05,2.7108111733948444e-05,4.939584748341242e-05,5.6146033912319744e-05,0.005197379950928847
NET,5102.0,27,0.00010125385121947937,4.602804886945422e-05,9.291507653963337e-05,0.00011696664720057547,0.022103925692253768
NET,5102.0,28,2.7325787511863412e-05,1.532028030346005e-05,2.4879797581184844e-05,3.1458993735750876e-05,0.053003417455310196
NET,5102.0,36,0.00013094010182079796,6.179196136812231e-05,0.00012999160223886773,0.00014260571230882753,0.005865536277602524
NET,5102.0,37,6.304231584170717e-05,6.767042330997997e-05,6.311019943031567e-05,6.242644162168772e-05,0.03754819488257974
NET,5102.0,38,0.0001554858234687104,0.0001436063329240844,0.00015299673137094354,0.000160391644373344,0.013595885909568874
NET,5102.0,41,4.9947674310643674e-05,2.976281317941897e-05,4.865480606843915e-05,5.465939539908123e-05,0.017755432877672624
NET,5102.0,42,0.00011830175997572678,8.24534660187425e-05,0.00012079310358219861,0.00011712951225138044,0.014086049772169646
NET,5102.0,43,4.710800893809e-05,3.643462816821893e-05,4.767774098607869e-05,4.737316114446315e-05,0.04987075008762706
NET,5103.0,2,0.00020247467218232728,0.00012168716830024356,0.0001942934658146715,0.0002231055571655843,0.00015060900806168945
NET,5103.0,3,4.2763088024200996e-05,3.677968623351595e-05,4.2239731429377094e-05,4.4464232959333884e-05,0.0014677532422011916
NET,5103.0,4,1.0879336814051835e-05,8.250783202720139e-06,1.0279602950218605e-05,1.1513327772043144e-05,0.0034640071854188576
NET,5103.0,7,0.0011793486335065194,0.0006820343413145046,0.0012054694455789464,0.0012191858161637705,0.0013417893445495969
NET,5103.0,22,4.299469257176986e-05,3.512209734736395e-05,4.354200754543414e-05,4.157262245110535e-05,0.003510559060637925
NET,5103.0,23,1.7983972659319387e-05,9.873912950094743e-06,1.738870500686994e-05,1.8913715189338534e-05,0.14404793200140203
NET,5103.0,25,0.0004650721993752789,0.0003266827866574896,0.00046430459971978833,0.00047863332877194295,0.002932768138801262
NET,5103.0,26,5.219189724534841e-05,2.703583768312632e-05,5.045093689564908e-05,5.620589533601852e-05,0.0027657290571328425
NET,5103.0,27,0.00010403256688000528,4.6260791343327944e-05,9.646350135771435e-05,0.00011931616735336479,0.03803562039957939
NET,5103.0,28,2.8236240629340677e-05,1.5307210240630143e-05,2.575768570710079e-05,3.2071033796756645e-05,0.03948694356817385
NET,5103.0,36,0.0001317471909181655,6.156933250074502e-05,0.0001300605324420138,0.00014289302153685485,0.0009365141955835962
NET,5103.0,37,6.328237158451772e-05,6.651557578744201e-05,6.308258622927362e-05,6.224101772984736e-05,0.03683074833508587
NET,5103.0,38,0.0001560470529221455,0.0001419624796046171,0.00015358925933648567,0.00016132269754622536,0.0031764808973010865
NET,5103.0,41,5.0778467254828356e-05,2.9644092553308367e-05,4.912158306807197e-05,5.530773932922688e-05,0.039591000701016475
NET,5103.0,42,0.00011842888546920074,8.210412409062281e-05,0.0001209362797814217,0.00011701487439904165,0.009584209603925692
NET,5103.0,43,4.760857227151609e-05,3.596909648109785e-05,4.830809361697561e-05,4.749733545605422e-05,0.08877168769716089
NET,5104.0,2,0.0002028952196520896,0.00011960945499792124,0.00019421597202825478,0.00022358298201196743,0.0006489879074658254
NET,5104.0,3,4.214349334520509e-05,3.5946652514417354e-05,4.158797614577226e-05,4.34495779115639e-05,0.023117113564668768
NET,5104.0,4,1.08589615749056e-05,8.16648040180777e-06,1.06342558152903e-05,1.1138532140880068e-05,0.04431464686295128
NET,5104.0,7,0.001182017159238771,0.000692161410163733,0.001207327783843324,0.0012204394621797335,0.0039486943568173855
NET,5104.0,22,4.2353964438178115e-05,3.449443129734385e-05,4.3184951072176565e-05,4.078033414137959e-05,0.04738707062740974
NET,5104.0,23,1.7944787568542727e-05,9.91942649386259e-06,1.7779701955121603e-05,1.8782118264187164e-05,0.16226066859446198
NET,5104.0,25,0.0004653890764197541,0.0003240049729975068,0.00046665148973476565,0.0004792453204030497,0.0036228312302839117
NET,5104.0,26,5.197870116043785e-05,2.7215958283349214e-05,5.0922107052808266e-05,5.6478212895742306e-05,0.012158254468980022
NET,5104.0,27,0.00010430263437783682,4.711023900023377e-05,9.761233622178303e-05,0.00012040871305614762,0.05852939887837364
NET,5104.0,28,2.7985631552947025e-05,1.5332542806057475e-05,2.6170156067803973e-05,3.174806094604374e-05,0.11476954083420961
NET,5104.0,36,0.00013112640525558342,6.20109105925993e-05,0.0001301439107446016,0.00014202886386961442,0.002448080967402734
NET,5104.0,37,6.323949924056012e-05,6.42492412521336e-05,6.36378614932017e-05,6.24972556439304e-05,0.10771282422011919
NET,5104.0,38,0.00015617982186403996,0.00013819265867898883,0.00015428546572745608,0.00016141166825930377,0.005846367858394672
NET,5104.0,41,5.054343304720098e-05,2.9235891080892396e-05,4.907193822522148e-05,5.555254870906796e-05,0.04593300911321416
NET,5104.0,42,0.00011791520195555784,8.211131755143082e-05,0.0001207261525699992,0.00011699004459665772,0.0433425341745531
NET,5104.0,43,4.748011885030504e-05,3.559048432047939e-05,4.848438748991459e-05,4.765229480881739e-05,0.15985366281107605
NET,5105.0,2,0.00020190295518500683,0.00012239963332188748,0.00019552771000219031,0.00022071839718542947,0.0007420916579039608
NET,5105.0,3,4.209024853402327e-05,3.702727864737058e-05,4.183827943526641e-05,4.3152636958263175e-05,0.005361680686996145
NET,5105.0,4,1.0371844049619305e-05,8.431964607635439e-06,1.0325375152566246e-05,1.1221212591688702e-05,0.08236943568173853
NET,5105.0,7,0.0011778153576392585,0.0006798000551339703,0.0012064514090671138,0.001218442451829276,0.004468980021030494
NET,5105.0,22,4.221361336867103e-05,3.5344171052790034e-05,4.283694968331469e-05,4.069077037516826e-05,0.015701673676831403
NET,5105.0,23,1.7488802436125575e-05,9.943809002528853e-06,1.7265461031928977e-05,1.8909083941903258e-05,0.12315435506484403
NET,5105.0,25,0.0004676056807371515,0.0003303562140976314,0.0004646533007473564,0.00048137908248263616,0.006070912197686646
NET,5105.0,26,5.110219207920747e-05,2.694675128616835e-05,4.937821828259843e-05,5.598157773438608e-05,0.020581405538030145
NET,5105.0,27,0.0001022516887026099,4.610727254574964e-05,9.414642981731717e-05,0.00011819429169888948,0.04948190501226779
NET,5105.0,28,2.7446484643901184e-05,1.540448743361929e-05,2.5075681013439454e-05,3.160372468966263e-05,0.09050232211706975
NET,5105.0,36,0.0001302290738442983,6.131311404930314e-05,0.00012881250572528265,0.00014222119730386679,0.005810769365580091
NET,5105.0,37,6.299931108915593e-05,6.817113620344438e-05,6.295498084688584e-05,6.227392330127371e-05,0.10037405800911323
NET,5105.0,38,0.0001557151498978755,0.00014467375190458387,0.00015361298529696768,0.0001602201395106246,0.010367376445846477
