fold,design,weighting,n_source_events,held_out_events,gamma_defined,n,mu,v,A,B,C,abc_residual,mean_delta,rank,U_unc,R_unc,identity_residual_unc,U_box,R_box,identity_residual_box,boundary_status,n_active_bounds,sigma2,sigma,sse,closure_ratio,closure_pass,interior_unc,mean_flow_interrupt,mean_flow_restore,c_common,rms_delivered_treatment,balanced_lo,balanced_hi,balanced_share,rho_box,median_one_customer_fraction,n_unique_counties,G_plugin,Gamma_plugin,noise_threshold,Gamma_cap,Gamma_near_closure,n_eff_kish
2,active48,row_pooled,21,"2018-10-11,2022-06-08,2024-01-09,2024-05-08,2024-09-27",True,377766,0.014222221379115541,0.0037256857156618846,0.9754835145383859,0.003927957296618456,0.01029426408249708,-5.637851296924623e-18,0.000329359951028149,2,0.0006010361389503037,0.01850119695672445,8.131516293641283e-19,0.0006010361389503037,0.01850119695672445,8.131516293641283e-19,interior,0,0.00023864054292103138,0.015447994786412617,90.1498060560205,0.3849388958867538,False,True,0.0005924880699253037,0.00026312811889715385,0.0006010361389503037,0.0005885316114332007,0.01598354559977052,0.061008772888723216,0.054147276356262805,0.032486338065378574,5.413305905916743e-05,2497,3.426420272789458e-07,542.39948708083,0.35977563574686133,377872.19726612064,,377766.0
2,active48,equal_event,21,"2018-10-11,2022-06-08,2024-01-09,2024-05-08,2024-09-27",False,377766,0.0155326484363889,0.0040557075653492765,0.9732316738600069,0.004296970732797731,0.011235677703591174,-5.637851296924623e-17,0.00031731274977641114,2,0.0006430488203225706,0.02032800913416233,8.51098705401121e-18,0.0006430488203225706,0.02032800913416233,8.51098705401121e-18,interior,0,0.0002577913918784381,0.01605588340386284,90.15481152520395,0.3344329093931271,False,True,0.0006330605690690655,0.00031574781929264584,0.0006430488203225706,0.0006284325299762536,0.015570541071600606,0.059502696736196584,0.0586931223954547,0.03163363495552016,5.413305905916743e-05,2497,,,,,,321347.8241602809
3,full,row_pooled,21,"2020-02-06,2021-12-11,2021-12-15,2024-01-12,2024-05-26",True,1234195,0.014261758517533665,0.005920222684761591,0.9776001034057836,0.006123620440774035,0.008138138076759616,4.709774237277031e-16,5.211823554394856e-05,2,0.00017820790269726792,0.00866289447596917,-1.3857459017080354e-17,0.00017820790269726792,0.00866289447596917,-1.3857459017080354e-17,interior,0,0.0001265081993369353,0.011247586378282912,156.1355340642502,0.17418354928741125,False,True,0.00017566634462308335,0.00012354810907914864,0.00017820790269726792,0.00017528334429046203,0.010180983473501532,0.03951696906702342,0.03507468430839536,0.020571404071885655,5.1353166620906885e-05,2320,3.070320390193001e-08,299.53584778183665,0.1946631468453711,3692512.1213741987,,1234195.0
3,full,equal_event,21,"2020-02-06,2021-12-11,2021-12-15,2024-01-12,2024-05-26",False,1234195,0.01326258598356476,0.0051807720246650184,0.9788314962444925,0.005356668211636467,0.007905917771928294,-7.632783294297951e-17,4.280516872760409e-05,2,0.00017562714981624375,0.009839160407695736,2.541098841762901e-18,0.00017562714981624375,0.009839160407695736,2.541098841762901e-18,interior,0,0.00012080820279901792,0.010991278487920225,156.14605998378852,0.14090353703699796,False,True,0.00017329787964075741,0.00013049271091315079,0.00017562714981624375,0.00017282785341073573,0.008845955984372217,0.034469087836031864,0.03745364484970312,0.01784981060770961,5.1353166620906885e-05,2320,,,,,,1028822.6259907515
3,active48,row_pooled,20,"2020-02-06,2021-12-11,2021-12-15,2024-01-12,2024-05-26",True,345943,0.022406209590493845,0.008718595467135291,0.96440821451434,0.00922063369534843,0.013185575895145425,-1.9081958235744878e-16,0.0006126095869311589,2,0.0006842080272415099,0.002511265085743794,1.441988889405721e-17,0.0006842080272415099,0.002511265085743794,1.441988889405721e-17,interior,0,0.00031089626206691235,0.017632250623981962,107.55176379568972,0.8448092536477082,False,True,0.0006688775187796383,5.626793184846494e-05,0.0006842080272415099,0.0006659202727081725,0.11989476359610898,0.3527135362477287,0.03227410295915807,0.27245551699248793,5.022980669553975e-05,2268,5.701258645268502e-08,63.4395057183297,0.14043897320616244,628716.2574722872,,345943.0
3,active48,equal_event,20,"2020-02-06,2021-12-11,2021-12-15,2024-01-12,2024-05-26",False,345943,0.02276415157560646,0.008414038150746275,0.9634039415964908,0.008932244747703462,0.013831906827903005,1.734723475976807e-18,0.0005745452400686086,2,0.000690037435488522,0.00438338667330507,-2.168404344971009e-19,0.000690037435488522,0.00438338667330507,-2.168404344971009e-19,interior,0,0.0003163292227471373,0.017785646537225946,107.5628553556042,0.7421977736441949,False,True,0.0006743293187142184,9.978407864560998e-05,0.000690037435488522,0.0006706767631697522,0.07296724565904747,0.23945242982426174,0.04107580552381192,0.15742107345693834,5.022980669553975e-05,2268,,,,,,290472.53100029944
4,full,row_pooled,21,"2019-02-20,2019-11-27,2020-10-29,2022-07-23,2024-06-26",True,1268985,0.013956542759429879,0.005622261362721124,0.9779039609295457,0.005817046448516918,0.008139496310912946,-6.487865800153259e-16,4.0888852304052176e-05,2,0.00018437633894376776,0.010096643044796261,2.0430434687773724e-17,0.00018437633894376776,0.010096643044796261,2.0430434687773724e-17,interior,0,0.00013575847507494996,0.011651543892332465,172.27519697603523,0.12670176234263417,False,True,0.0001818030826854719,0.0001409142303813993,0.00018437633894376776,0.00018135004151742566,0.009047963160169563,0.03523542612805957,0.03822267402688,0.01826115255592739,5.470609156422162e-05,2514,3.2856316518455825e-08,307.1202206282445,0.20419151014959624,3358801.8248345526,,1268985.0
4,full,equal_event,21,"2019-02-20,2019-11-27,2020-10-29,2022-07-23,2024-06-26",False,1268985,0.012769830516450788,0.0048349969356496015,0.9794584044741692,0.0049980655070684795,0.007771765009382307,1.214306433183765e-17,3.400772970810056e-05,2,0.00018339822892100437,0.011515308266866179,-4.2012834183813297e-19,0.00018339822892100437,0.011515308266866179,-4.2012834183813297e-19,interior,0,0.00012915461522850305,0.011364621209195801,172.2900834088754,0.10364898580112397,False,True,0.0001810562646206659,0.00014704853491256576,0.00018339822892100437,0.00018052506721585716,0.00790032361037587,0.03086965368006525,0.03996703864305391,0.015926471499569772,5.470609156422162e-05,2514,,,,,,1077661.1949373758
4,active48,row_pooled,20,"2019-02-20,2019-11-27,2020-10-29,2022-07-23,2024-06-26",True,356927,0.02320473348008592,0.008490613229996202,0.9626196059256868,0.009029072885878023,0.014175660594207898,-1.734723475976807e-16,0.0005825710210147176,2,0.0007288126710405014,0.005573420886232336,1.3877787807814457e-17,0.0007288126710405014,0.005573420886232336,1.3877787807814457e-17,interior,0,0.00034185779131005024,0.01848939672650382,122.01759216333969,0.6925224557038312,False,True,0.000711900767252097,0.00012932974623736562,0.0007288126710405014,0.0007078483491938787,0.06137031643246331,0.2073127234196367,0.04612147581998553,0.1307657695188319,5.447809980387884e-05,2485,2.739857885054842e-07,286.06317603334367,0.3127186043936257,575570.1888030487,,356927.0
4,active48,equal_event,20,"2019-02-20,2019-11-27,2020-10-29,2022-07-23,2024-06-26",False,356927,0.023415285009365933,0.008089779850034985,0.9618074854033738,0.008638055422104822,0.01477722958726111,6.938893903907228e-18,0.0005346933986636104,2,0.0007371268257564446,0.00790822713905172,-7.589415207398531e-19,0.0007371268257564446,0.00790822713905172,-7.589415207398531e-19,interior,0,0.00034700084920224566,0.018627958803965766,122.03498755564928,0.5907952027514562,False,True,0.0007198667910433082,0.00018517339237969857,0.0007371268257564446,0.0007150096323394734,0.044529749854825364,0.1571283421113376,0.05441074428065371,0.09321012317873736,5.447809980387884e-05,2485,,,,,,306401.9785625356
