seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,4,1639,2021-12-11,46015,0.004405034,0.00443462748080492,0.23,8.080110274022445e-05,0.004362931475043297,0.00461124163120985
0,4,1645,2021-12-11,46033,0.0015902185,0.0015906584449112415,0.435,2.9579066449514357e-06,0.001585808931849897,0.0015958580188453197
0,4,1648,2021-12-11,46039,0.0036975,0.0037004444748163223,0.5,0.0006092606927268207,0.003251102287322283,0.00515941996127367
0,4,1653,2021-12-11,46049,0.0014338623,0.001410939497873187,0.57,7.27413862477988e-05,0.0013387197395786643,0.0015521999448537827
0,4,1658,2021-12-11,46059,0.0016273725,0.0016485523665323853,0.235,4.437096868059598e-05,0.0016120343934744596,0.0017411966109648347
0,4,1669,2021-12-11,46081,0.0034232626,0.002337102312594652,0.74,0.000989230233244598,0.0018494758987799287,0.005010747350752354
0,4,1670,2021-12-11,46083,0.0097153215,0.00942612998187542,0.585,0.0008914688369259238,0.008850355632603168,0.01172035001218319
0,4,1672,2021-12-11,46087,0.0072175106,0.007261662743985653,0.425,0.00044994597556069493,0.006956090684980154,0.008300846442580223
0,4,1677,2021-12-11,46097,0.0048053325,0.0049330098554492,0.105,0.00018395946244709194,0.004778498783707619,0.005314363166689873
0,4,1685,2021-12-11,46117,0.0012743723,0.0012671987060457468,0.69,5.799898644909263e-06,0.0012650641147047281,0.001281124772503972
0,4,1691,2021-12-11,46135,0.010683737,0.010661371052265167,0.525,0.0005861658719368279,0.010266691446304321,0.011965437792241573
0,4,1695,2021-12-11,47021,0.008044685,0.008004935458302498,0.535,0.00037547643296420574,0.007590159308165312,0.008926882408559322
0,4,1706,2021-12-11,47065,0.0026250093,0.002641505328938365,0.48,0.00038230360951274633,0.002423287136480212,0.003565613180398941
0,4,1707,2021-12-11,47077,0.0075898604,0.007681654766201973,0.075,5.093981235404499e-05,0.007581633981317282,0.007747849449515343
0,4,1717,2021-12-11,47115,0.0040655355,0.0036537721753120422,0.735,0.00039340785588137805,0.0033278600312769413,0.004606120754033327
0,4,1721,2021-12-11,47131,0.042336993,0.04253295809030533,0.285,0.00017201258742716163,0.04216157644987106,0.04269570857286453
0,4,1723,2021-12-11,47137,0.005264086,0.00509220827370882,0.59,0.0006278323708102107,0.004542827140539885,0.0065752314403653145
0,4,1731,2021-12-11,47165,0.017944,0.017840992659330368,0.71,0.00014872521569486707,0.017577068880200386,0.018057139590382576
0,4,1732,2021-12-11,47187,0.0055472306,0.0057871658354997635,0.3,0.0004525454714894295,0.005189643707126379,0.006818422116339207
0,4,1735,2021-12-11,48045,0.004516667,0.0047615328803658485,0.105,0.000326592184137553,0.004448918160051107,0.00545985484495759
0,4,1737,2021-12-11,48069,0.004723622,0.0046675605699419975,0.58,0.0002239600580651313,0.004496924113482237,0.005182769149541855
0,4,1747,2021-12-11,48341,0.017450908,0.0174388587474823,0.92,1.0982806998072192e-05,0.01741800084710121,0.017453761771321297
0,4,1758,2021-12-11,49019,0.010599803,0.010232528671622276,0.795,0.0004952142480760813,0.009350302629172802,0.010767183266580105
0,4,1759,2021-12-11,49021,0.0036093427,0.003948625177145004,0.25,0.0008319778717122972,0.0034252582117915154,0.005877287592738867
0,4,1765,2021-12-11,49053,0.0066296114,0.007041511125862598,0.225,0.0008294422877952456,0.006505555473268032,0.009125100448727608
0,4,1775,2021-12-11,50019,0.031769536,0.018129762262105942,0.95,0.005002808291465044,0.017304860055446625,0.03231583535671234
0,4,1776,2021-12-11,50021,0.022437314,0.012356002815067768,0.815,0.005514058284461498,0.008974894881248474,0.025315873324871063
0,4,1780,2021-12-11,51105,0.0112820435,0.01112879067659378,0.69,0.00039370302692987025,0.010184830985963345,0.011481894180178642
0,4,1789,2021-12-11,54059,0.0072024,0.00746338814496994,0.385,0.0012197437463328242,0.006701213773339987,0.010483924299478531
0,4,1794,2021-12-11,55011,0.010040096,0.010582100600004196,0.035,0.007079191505908966,0.009978841990232468,0.030527237802743912
0,4,1800,2021-12-11,55025,0.01638554,0.022210948169231415,0.015,0.011722189374268055,0.016263725236058235,0.04961755499243736
0,4,1801,2021-12-11,55027,0.019436587,0.021977242082357407,0.415,0.013352659530937672,0.015183161944150925,0.05346348136663437
0,4,1808,2021-12-11,55047,0.023473606,0.02653239294886589,0.35,0.013253198936581612,0.020287318155169487,0.058112937957048416
0,4,1812,2021-12-11,55057,0.0667413,0.029849950224161148,0.87,0.017012016847729683,0.022262996062636375,0.07012958824634552
0,4,1816,2021-12-11,55067,0.040655654,0.03942615166306496,0.67,0.004262775648385286,0.030182696878910065,0.043759286403656006
0,4,1819,2021-12-11,55077,0.05130803,0.03008008375763893,0.785,0.01136800553649664,0.026082295924425125,0.0557781420648098
0,4,1831,2021-12-11,55105,0.013568352,0.021719127893447876,0.02,0.014287090860307217,0.01318296417593956,0.05275055766105652
0,4,1832,2021-12-11,55111,0.021060757,0.024698838591575623,0.225,0.013368718326091766,0.019222475588321686,0.0569084957242012
0,4,1841,2021-12-11,55139,0.020013796,0.023946331813931465,0.12,0.00969063863158226,0.019354959949851036,0.04695815593004227
0,4,1847,2021-12-11,56011,0.0027633249,0.0027028073091059923,0.555,0.0004055114113725722,0.0025543752126395702,0.003768840804696083
0,4,1856,2022-06-08,01003,0.004125846,0.004069783724844456,0.95,3.064423071919009e-05,0.004032779950648546,0.004126514308154583
0,4,1858,2022-06-08,01025,0.0023500847,0.002313467673957348,0.995,1.679157321632374e-05,0.002295049373060465,0.0023501201067119837
0,4,1869,2022-06-08,05043,0.02753654,0.027535095810890198,0.965,6.575561997124169e-07,0.0275335144251585,0.027536971494555473
0,4,1871,2022-06-08,05079,0.0018595854,0.0018582928460091352,0.71,2.6215454909106484e-06,0.0018505812622606754,0.0018612804124131799
0,4,1880,2022-06-08,06061,0.0040898914,0.004116981290280819,0.315,5.605964906862937e-05,0.004057265352457762,0.004240087233483791
0,4,1891,2022-06-08,12009,0.006795011,0.0067219301126897335,0.725,6.91493769409135e-05,0.006643091328442097,0.0068578897044062614
0,4,1895,2022-06-08,12033,0.004445242,0.004383235238492489,0.92,3.170935087837279e-05,0.004349423572421074,0.004447263665497303
0,4,1902,2022-06-08,13121,0.0020672434,0.0020671593956649303,0.535,1.35554694224993e-06,0.002064888598397374,0.002070654882118106
0,4,1908,2022-06-08,17043,0.0017643601,0.0017933750059455633,0.0,2.228284938610159e-05,0.001765131950378418,0.0018392550991848111
0,4,1910,2022-06-08,17097,0.0019343616,0.0019369430374354124,0.45,3.5098244552500546e-05,0.0018962956964969635,0.0020116562955081463
0,4,1917,2022-06-08,18029,0.003376492,0.0033008556347340345,0.77,5.905861689825542e-05,0.00321172084659338,0.0034066634252667427
0,4,1923,2022-06-08,18137,0.0030391396,0.002921088133007288,0.86,7.595960778417066e-05,0.0028120269998908043,0.003046469297260046
0,4,1926,2022-06-08,19001,0.0039943005,0.0040298644453287125,0.175,3.361704875715077e-05,0.00394298043102026,0.004068251233547926
0,4,1936,2022-06-08,21063,0.004492712,0.0044784024357795715,0.775,1.2199530829093419e-05,0.0044678314588963985,0.004508514888584614
0,4,1939,2022-06-08,21237,0.00198969,0.0019555678591132164,0.745,3.137145540677011e-05,0.0019209583988413215,0.0020188072230666876
0,4,1943,2022-06-08,22069,0.007585515,0.007573618553578854,0.995,7.913210538390558e-06,0.007559728808701038,0.007585520390421152
