seed,fold,variant,n_units,mean_dlogit,mean_abs_dlogit,mean_dlogit_h72_95,mean_dlogit_h168_215,mean_dp,max_dp,share_units_dp_gt_1pp,mean_p_open,mean_p_closed
3,3,path from hour 72 (as trained),991,0.007068072911351919,0.01316880900412798,0.001281527685932815,0.008860883302986622,1.3141991075826809e-05,0.0010102493688464165,0.0,0.0010214613284915686,0.0010083193192258477
3,3,path from hour 0,991,-0.0007615521317347884,0.0017738993046805263,-0.0006672345334663987,-0.0009788676397874951,5.76443426325568e-07,0.0006137089803814888,0.0,0.0012503897305577993,0.0012498132418841124
3,4,path from hour 72 (as trained),385,-0.00019749091006815434,0.0003044533368665725,-0.00011378753697499633,-0.00022086608805693686,-3.665553549581091e-08,1.13658607006073e-05,0.0,0.0012011409271508455,0.0012011777143925428
3,4,path from hour 0,385,5.456240978674032e-05,0.00010449378896737471,5.0517850468168035e-05,5.738448817282915e-05,1.0406427719544808e-07,1.1358410120010376e-05,0.0,0.0012013803934678435,0.001201276434585452
3,5,path from hour 72 (as trained),419,-0.0010711855720728636,0.0020476197823882103,-0.00017088271852117032,-0.0017452616011723876,3.2368685509709394e-08,0.0001485021784901619,0.0,0.0010991452727466822,0.001099113025702536
3,5,path from hour 0,419,-0.0007205309229902923,0.0013015323784202337,-9.075250272871926e-05,-0.0012062365422025323,5.669368086103077e-09,0.0001326841302216053,0.0,0.0015346421860158443,0.001534636365249753
4,1,path from hour 72 (as trained),321,-0.01734800450503826,0.02005632035434246,-0.0010772955138236284,-0.029583096504211426,-1.849276668508537e-05,0.0002509281039237976,0.0,0.0011501222616061568,0.001168615068309009
4,1,path from hour 0,321,-0.0011248644441366196,0.003742688335478306,-0.0005897592636756599,-0.0015717009082436562,-3.0806543236394646e-06,0.00013363361358642578,0.0,0.001100711291655898,0.0011037918739020824
4,2,path from hour 72 (as trained),544,-0.012111017480492592,0.015083183534443378,-0.0004747095808852464,-0.02749982289969921,3.712287480084342e-06,0.0003578104078769684,0.0,0.002781420946121216,0.0027777086943387985
4,2,path from hour 0,544,-0.011818892322480679,0.013629043474793434,-0.0015487212222069502,-0.019025638699531555,-5.749719775849371e-07,4.860199987888336e-05,0.0,0.0025846560019999743,0.0025852310936897993
4,3,path from hour 72 (as trained),991,-0.004695753566920757,0.0072089326567947865,-0.0022943117655813694,-0.005129173398017883,-2.7949567993346136e-07,0.00031914981082081795,0.0,0.000879106402862817,0.0008793859742581844
4,3,path from hour 0,991,0.0003324603312648833,0.001876379013992846,-0.0004696662363130599,0.0009785370202735066,8.216596256716002e-07,0.0001447692047804594,0.0,0.0010573019972071052,0.0010564802214503288
4,4,path from hour 72 (as trained),385,-0.0014162275474518538,0.0014165337197482586,-0.0010778500000014901,-0.0015215612947940826,-9.492745256522994e-09,4.656612873077393e-10,0.0,0.006488385144621134,0.00648839445784688
4,4,path from hour 0,385,-0.0002921492559835315,0.0002953277435153723,-0.0004585843125823885,-0.0002279669715790078,-4.5602938092415e-10,4.7672074288129807e-08,0.0,0.006488437298685312,0.0064884377643466
4,5,path from hour 72 (as trained),419,0.00482333404943347,0.044320542365312576,-0.001328283571638167,0.014461703598499298,4.856321993429447e-06,0.0006212424486875534,0.0,0.0007005569059401751,0.0006957005243748426
4,5,path from hour 0,419,-0.0029940821696072817,0.025745751336216927,-0.0010502893710508943,-0.0029229766223579645,1.6083218952189782e-06,0.0005723137874156237,0.0,0.001129639451391995,0.0011280311737209558
