seed,model,segment,n_cells,sse,sse_share,mean_pred,mean_obs
1,GCRK closed,rise,12496,112.91318702586761,0.41041450978626165,0.019258838008241953,0.04918881950683785
1,GCRK closed,fall,16284,74.40932748123981,0.27046147988668723,0.019886724960678108,0.033794931492340766
1,GCRK closed,other active,116354,82.2824893625229,0.29907868536184945,0.004767145185027959,0.0048590420128492365
2,W,true zero,238903,6.762051443727106,0.025289854178671103,0.0017076713262931798,0.0
2,W,rise,12496,104.0579945729947,0.3891735416058139,0.02340055410144929,0.04918881950683785
2,W,fall,16284,73.12694966428185,0.27349243183535654,0.023584562550062884,0.033794931492340766
2,W,other active,116354,83.64968445861874,0.31284712038279083,0.005142005027815697,0.0048590420128492365
2,GCRK,true zero,238903,6.512659558905942,0.024217346077385123,0.0021148710356533834,0.0
2,GCRK,rise,12496,106.38200784374624,0.3955818474859587,0.022767737941710966,0.04918881950683785
2,GCRK,fall,16284,73.21817895997978,0.27226204026049516,0.022336152231949086,0.033794931492340766
2,GCRK,other active,116354,83.01582752164728,0.3086946287930909,0.005517411705995299,0.0048590420128492365
2,GCRK closed,true zero,238903,6.408556045436954,0.022958137340688415,0.0020865266406465467,0.0
2,GCRK closed,rise,12496,113.47618077773234,0.4065193039931253,0.019944747785621834,0.04918881950683785
2,GCRK closed,fall,16284,75.86131981353122,0.27176708556134466,0.020669698016256805,0.033794931492340766
2,GCRK closed,other active,116354,83.57121281628787,0.299387158037005,0.005337295079489456,0.0048590420128492365
3,W,true zero,238903,8.030592412934894,0.03004808540327546,0.0019814754780398693,0.0
3,W,rise,12496,105.28969123551788,0.39396267070328206,0.023655431285713006,0.04918881950683785
3,W,fall,16284,72.33306225197173,0.2706487791021337,0.02372768908948007,0.033794931492340766
3,W,other active,116354,81.84724704892247,0.3062480254118889,0.005545042546422756,0.0048590420128492365
3,GCRK,true zero,238903,7.08143654721588,0.026120882371150813,0.002180062744506385,0.0
3,GCRK,rise,12496,107.14429547604969,0.39521691964747624,0.022544439009161216,0.04918881950683785
3,GCRK,fall,16284,76.79555779842583,0.28327129933378503,0.02168072147728376,0.033794931492340766
3,GCRK,other active,116354,80.24777748850931,0.29600530095094196,0.005573468769250429,0.0048590420128492365
3,GCRK closed,true zero,238903,4.908414056881558,0.016566577961942764,0.002005835873093891,0.0
3,GCRK closed,rise,12496,124.96788751055671,0.42178394634014227,0.014774494613663187,0.04918881950683785
3,GCRK closed,fall,16284,83.19774505934255,0.2808039244063097,0.01508861847447742,0.033794931492340766
3,GCRK closed,other active,116354,83.33000198555695,0.2812503098688535,0.004551548215236517,0.0048590420128492365
4,W,true zero,238903,6.617013550033735,0.025919862444746183,0.001427077941927073,0.0
4,W,rise,12496,102.16569156350101,0.4001987682018289,0.023266192249401785,0.04918881950683785
4,W,fall,16284,69.04947420781062,0.27047743816987896,0.024145028286327613,0.033794931492340766
4,W,other active,116354,77.65871416260265,0.3042011586511351,0.005004945606937102,0.0048590420128492365
4,GCRK,true zero,238903,7.6878320901385795,0.029288106525281424,0.0020857330932506158,0.0
4,GCRK,rise,12496,104.13308187624277,0.39671272200512825,0.024003324429907505,0.04918881950683785
4,GCRK,fall,16284,72.21772934135991,0.2751257474362404,0.022967584868686736,0.033794931492340766
4,GCRK,other active,116354,78.66529300839169,0.29968884003431984,0.00558078000205235,0.0048590420128492365
4,GCRK closed,true zero,238903,5.865871291081665,0.02066672868079465,0.001955202707428909,0.0
4,GCRK closed,rise,12496,117.94524713890628,0.4155465234150348,0.018049823109055348,0.04918881950683785
4,GCRK closed,fall,16284,78.16831950042501,0.2754038352333262,0.017978928850956,0.033794931492340766
4,GCRK closed,other active,116354,82.00470658196063,0.2889202536806839,0.004813440431998807,0.0048590420128492365
