seed,fold,variant,n_units,mean_dlogit,mean_abs_dlogit,mean_dlogit_h72_95,mean_dlogit_h168_215,mean_dp,max_dp,share_units_dp_gt_1pp,mean_p_open,mean_p_closed
1,1,path from hour 72 (as trained),542,-0.01293147075921297,0.0429811030626297,-0.0009251247975043952,-0.020757310092449188,-1.021194566419581e-05,8.638016879558563e-06,0.0,0.0007763253524899483,0.0007865371881052852
1,1,path from hour 0,542,-0.0001906563702505082,0.00968234147876501,0.0008633031975477934,-0.0014695622958242893,-4.24169502366567e-06,0.00011129677295684814,0.0,0.0010229904437437654,0.001027231919579208
1,2,path from hour 72 (as trained),511,-0.026251237839460373,0.031918033957481384,-0.0025155802723020315,-0.03875049576163292,-1.5452669686055742e-05,2.148561179637909e-06,0.0,0.0005688529345206916,0.0005843056133016944
1,2,path from hour 0,511,-0.0032166100572794676,0.003933984320610762,-0.0008089292095974088,-0.00545852817595005,-6.4729010773589835e-06,2.4868641048669815e-06,0.0,0.0007349209627136588,0.0007413938292302191
1,3,path from hour 72 (as trained),546,-0.04351109638810158,0.050026144832372665,-0.004860019311308861,-0.06375467777252197,-2.3758731913403608e-05,1.234305091202259e-05,0.0,0.0006808293401263654,0.0007045880192890763
1,3,path from hour 0,546,-0.0037871128879487514,0.006855939980596304,-0.0012332153273746371,-0.006031573284417391,-1.1595865544222761e-05,8.621718734502792e-06,0.0,0.0009366045123897493,0.0009482004679739475
1,4,path from hour 72 (as trained),529,-0.07326576113700867,0.07960594445466995,-0.009711457416415215,-0.10511905699968338,-4.390572212287225e-05,3.436114639043808e-06,0.0,0.0010438665049150586,0.0010877721942961216
1,4,path from hour 0,529,-0.0037703728303313255,0.007487537804991007,-0.0013585230335593224,-0.005601321812719107,-1.2947323739354033e-05,8.473056368529797e-06,0.0,0.0014129062183201313,0.0014258535811677575
1,5,path from hour 72 (as trained),532,-0.06814038008451462,0.07338304817676544,-0.009435232728719711,-0.09975173324346542,-2.3272437829291448e-05,1.6630219761282206e-06,0.0,0.0005071046180091798,0.0005303770303726196
1,5,path from hour 0,532,-0.006426065694540739,0.007763126399368048,-0.0018812994239851832,-0.010760839097201824,-1.1251615433138795e-05,2.3207394406199455e-06,0.0,0.0006530997343361378,0.0006643513916060328
2,1,path from hour 72 (as trained),542,-0.00042173563269898295,0.0295171607285738,8.38609121274203e-05,0.0005431895260699093,-2.9861190341762267e-05,0.0005430980818346143,0.0,0.0010907909600064158,0.001120651955716312
2,1,path from hour 0,542,0.0025104007218033075,0.009305683895945549,0.0017313003772869706,0.002408434869721532,-1.93630694411695e-05,0.0001837360323406756,0.0,0.0013853898271918297,0.00140475295484066
2,2,path from hour 72 (as trained),511,-0.0020839739590883255,0.005748045165091753,3.8819849578430876e-05,-0.0032075189519673586,-1.4739896869286895e-05,0.0001305416226387024,0.0,0.0009547770023345947,0.0009695169283077121
2,2,path from hour 0,511,-0.0007072965381667018,0.0015308612491935492,-2.129365202563349e-05,-0.0013035841984674335,-4.62510888610268e-06,2.7448986656963825e-05,0.0,0.001137717510573566,0.0011423425748944283
2,3,path from hour 72 (as trained),546,-0.014460155740380287,0.042522989213466644,-0.0019609229639172554,-0.019520998001098633,-0.00010094661411130801,0.0003990503028035164,0.0,0.0008532417705282569,0.000954188231844455
