seed,fold,group,n_features,base_deposit,occluded_deposit,reduction_share
1,1,precipitation,6,0.2841806411743164,0.24341705441474915,0.14344251155853271
1,1,other,5,0.2841806411743164,0.2517516016960144,0.11411416530609131
1,2,path summaries,5,0.2948955297470093,0.20744580030441284,0.29654479026794434
1,2,slow thermal / snow / soil,10,0.2948955297470093,0.21710322797298431,0.2637961506843567
1,2,wind,14,0.2948955297470093,0.16397729516029358,0.44394785165786743
1,2,precipitation,6,0.2948955297470093,0.2518116235733032,0.14609885215759277
1,2,other,5,0.2948955297470093,0.2516784369945526,0.14655053615570068
1,3,path summaries,5,0.29016634821891785,0.19263970851898193,0.33610594272613525
1,3,slow thermal / snow / soil,10,0.29016634821891785,0.20958393812179565,0.27771109342575073
1,3,wind,14,0.29016634821891785,0.16539113223552704,0.43001270294189453
1,3,precipitation,6,0.29016634821891785,0.2523656487464905,0.1302725076675415
1,3,other,5,0.29016634821891785,0.25106215476989746,0.13476473093032837
1,4,path summaries,5,0.29553133249282837,0.19290173053741455,0.34727150201797485
1,4,slow thermal / snow / soil,10,0.29553133249282837,0.22136788070201874,0.25094956159591675
1,4,wind,14,0.29553133249282837,0.16810132563114166,0.43118947744369507
1,4,precipitation,6,0.29553133249282837,0.2575515806674957,0.12851345539093018
1,4,other,5,0.29553133249282837,0.2616858184337616,0.11452430486679077
1,5,path summaries,5,0.2941933870315552,0.1940186321735382,0.34050649404525757
1,5,slow thermal / snow / soil,10,0.2941933870315552,0.21103543043136597,0.2826642394065857
1,5,wind,14,0.2941933870315552,0.17154012620449066,0.4169137477874756
1,5,precipitation,6,0.2941933870315552,0.2563844323158264,0.12851732969284058
1,5,other,5,0.2941933870315552,0.25547879934310913,0.13159573078155518
2,1,path summaries,5,0.2961848974227905,0.19032369554042816,0.35741591453552246
2,1,slow thermal / snow / soil,10,0.2961848974227905,0.20876123011112213,0.2951658368110657
2,1,wind,14,0.2961848974227905,0.18332214653491974,0.3810550570487976
2,1,precipitation,6,0.2961848974227905,0.2569521963596344,0.13246017694473267
2,1,other,5,0.2961848974227905,0.25619786977767944,0.13500696420669556
2,2,path summaries,5,0.30544477701187134,0.20165707170963287,0.33979207277297974
2,2,slow thermal / snow / soil,10,0.30544477701187134,0.21852709352970123,0.28456103801727295
2,2,wind,14,0.30544477701187134,0.1901552379131317,0.37744808197021484
2,2,precipitation,6,0.30544477701187134,0.2627754211425781,0.13969582319259644
2,2,other,5,0.30544477701187134,0.2594844698905945,0.1504700779914856
2,3,path summaries,5,0.3005390763282776,0.19105404615402222,0.36429548263549805
2,3,slow thermal / snow / soil,10,0.3005390763282776,0.21641741693019867,0.2799025774002075
2,3,wind,14,0.3005390763282776,0.1879194676876068,0.374725341796875
2,3,precipitation,6,0.3005390763282776,0.2644183933734894,0.12018632888793945
2,3,other,5,0.3005390763282776,0.2606580853462219,0.1326981782913208
2,4,path summaries,5,0.30737245082855225,0.1948009729385376,0.366237998008728
2,4,slow thermal / snow / soil,10,0.30737245082855225,0.22295713424682617,0.2746352553367615
2,4,wind,14,0.30737245082855225,0.19717246294021606,0.3585226535797119
2,4,precipitation,6,0.30737245082855225,0.26760536432266235,0.129377543926239
2,4,other,5,0.30737245082855225,0.268035888671875,0.12797683477401733
2,5,path summaries,5,0.30214762687683105,0.19329877197742462,0.3602505922317505
2,5,slow thermal / snow / soil,10,0.30214762687683105,0.2164275348186493,0.28370267152786255
2,5,wind,14,0.30214762687683105,0.19173601269721985,0.36542272567749023
2,5,precipitation,6,0.30214762687683105,0.26425179839134216,0.12542158365249634
2,5,other,5,0.30214762687683105,0.26047956943511963,0.13790631294250488
3,1,path summaries,5,0.28673887252807617,0.22230255603790283,0.2247212529182434
3,1,slow thermal / snow / soil,10,0.28673887252807617,0.19788280129432678,0.3098849654197693
3,1,wind,14,0.28673887252807617,0.1485344022512436,0.48198723793029785
3,1,precipitation,6,0.28673887252807617,0.27601417899131775,0.03740227222442627
3,1,other,5,0.28673887252807617,0.2491796910762787,0.13098740577697754
3,2,path summaries,5,0.29272449016571045,0.21187639236450195,0.276191771030426
3,2,slow thermal / snow / soil,10,0.29272449016571045,0.21316002309322357,0.27180665731430054
3,2,wind,14,0.29272449016571045,0.15165910124778748,0.4819049835205078
3,2,precipitation,6,0.29272449016571045,0.2790513038635254,0.046710073947906494
3,2,other,5,0.29272449016571045,0.2546127140522003,0.13019675016403198
3,3,path summaries,5,0.2877075672149658,0.21683284640312195,0.24634289741516113
3,3,slow thermal / snow / soil,10,0.2877075672149658,0.1987459808588028,0.30920839309692383
3,3,wind,14,0.2877075672149658,0.1481764167547226,0.48497557640075684
3,3,precipitation,6,0.2877075672149658,0.27645882964134216,0.03909784555435181
3,3,other,5,0.2877075672149658,0.25038862228393555,0.12971138954162598
3,4,path summaries,5,0.2885892987251282,0.21382585167884827,0.2590652108192444
3,4,slow thermal / snow / soil,10,0.2885892987251282,0.2107284963130951,0.2697979807853699
3,4,wind,14,0.2885892987251282,0.1489284485578537,0.48394328355789185
3,4,precipitation,6,0.2885892987251282,0.2760116457939148,0.0435832142829895
3,4,other,5,0.2885892987251282,0.25580331683158875,0.11360776424407959
3,5,path summaries,5,0.2930760979652405,0.22851243615150452,0.22029656171798706
3,5,slow thermal / snow / soil,10,0.2930760979652405,0.20396554470062256,0.30405259132385254
3,5,wind,14,0.2930760979652405,0.15096907317638397,0.4848809838294983
3,5,precipitation,6,0.2930760979652405,0.2811443507671356,0.04071211814880371
3,5,other,5,0.2930760979652405,0.25105151534080505,0.14339137077331543
4,1,path summaries,5,0.2912067770957947,0.19594866037368774,0.3271150588989258
4,1,slow thermal / snow / soil,10,0.2912067770957947,0.213234081864357,0.2677571177482605
4,1,wind,14,0.2912067770957947,0.18615736067295074,0.36073821783065796
4,1,precipitation,6,0.2912067770957947,0.27790969610214233,0.045661985874176025
4,1,other,5,0.2912067770957947,0.25217461585998535,0.1340358853340149
4,2,path summaries,5,0.29706186056137085,0.18704618513584137,0.3703460097312927
4,2,slow thermal / snow / soil,10,0.29706186056137085,0.2253614068031311,0.24136537313461304
4,2,wind,14,0.29706186056137085,0.16774238646030426,0.4353284239768982
4,2,precipitation,6,0.29706186056137085,0.27315646409988403,0.08047276735305786
4,2,other,5,0.29706186056137085,0.25643840432167053,0.13675081729888916
4,3,path summaries,5,0.2931476831436157,0.18997442722320557,0.3519497513771057
4,3,slow thermal / snow / soil,10,0.2931476831436157,0.21575215458869934,0.2640154957771301
4,3,wind,14,0.2931476831436157,0.1665288209915161,0.4319285750389099
4,3,precipitation,6,0.2931476831436157,0.2815459072589874,0.03957653045654297
4,3,other,5,0.2931476831436157,0.24926061928272247,0.1497097611427307
4,4,path summaries,5,0.2946363091468811,0.1955999732017517,0.3361307978630066
4,4,slow thermal / snow / soil,10,0.2946363091468811,0.21543927490711212,0.268795907497406
4,4,wind,14,0.2946363091468811,0.1634901463985443,0.44511204957962036
4,4,precipitation,6,0.2946363091468811,0.2842063903808594,0.03539931774139404
4,4,other,5,0.2946363091468811,0.25642308592796326,0.12969624996185303
4,5,path summaries,5,0.29269951581954956,0.19101634621620178,0.3473978042602539
4,5,slow thermal / snow / soil,10,0.29269951581954956,0.21438871324062347,0.26754677295684814
4,5,wind,14,0.29269951581954956,0.15903182327747345,0.4566720724105835
4,5,precipitation,6,0.29269951581954956,0.2825360596179962,0.03472316265106201
4,5,other,5,0.29269951581954956,0.25238510966300964,0.1377331018447876
