gamma,rho,n,validation_n,design,rule,replications,delta,MC_halfwidth,MC_dof,common_component_difference,NET_excluded_component_error,structural_signal,partition_identity_error,max_ASYM_affine_residual,NET_common_bias_squared,NET_common_variance,ASYM_common_bias_squared,ASYM_common_variance,NET_excluded_bias_squared,NET_excluded_variance,common_bias_difference,common_variance_difference,component_ensemble_partition_error,NET_risk,NET_ensemble_bias_squared,NET_ensemble_variance,NET_oob_fraction,ASYM_risk,ASYM_ensemble_bias_squared,ASYM_ensemble_variance,ASYM_oob_fraction
0.0,1.0,128,32,initial_state_interpolation,original_early_stop,30,4.0356851441796934e-06,1.0605482775837852e-05,20.957354488942283,3.8924482111480815e-06,1.432369330315023e-07,7.092909402974666e-33,1.3145951341386741e-18,5.8089272336747655e-08,2.9436337328215818e-06,2.8609404918113244e-05,4.769214470724614e-06,2.289137596897502e-05,1.835901565301091e-08,1.2487791737849138e-07,-1.8255807379030322e-06,5.718028949138224e-06,8.70004480783837e-17,3.169627558396631e-05,2.9619927484745952e-06,2.873428283549171e-05,0.0005208333333333333,2.7660590439786618e-05,4.769214470729017e-06,2.2891375969057592e-05,0.0
0.0,1.0,128,32,initial_state_interpolation,fixed_3000_ablation,30,-8.181834887539941e-07,1.5767677220865584e-05,18.476417078230124,-1.0097591995696485e-06,1.9157571081563121e-07,7.092909402974666e-33,1.6398557858843255e-18,5.859439666799915e-08,1.5611849634128802e-06,3.230847608307013e-05,9.949855745622812e-07,3.3884434671395993e-05,6.107239507769583e-09,1.8546847130786169e-07,5.66199388850599e-07,-1.5759585883258611e-06,9.43631760932733e-17,3.406123675729861e-05,1.5672922029206404e-06,3.249394455437796e-05,0.0015625,3.48794202460526e-05,9.94985574564625e-07,3.388443467148798e-05,0.0
0.0,1.0,512,128,training_support,original_early_stop,30,2.5732329573109168e-06,2.7960362914576325e-06,20.840628585109993,2.219384321828919e-06,3.538486354819995e-07,5.558599319878379e-34,7.453889935837843e-20,5.619866508266291e-08,1.9357648698159004e-06,9.750802285396632e-06,1.7976008935461524e-06,7.669581939759162e-06,2.2820395533758103e-07,1.2564468014441852e-07,1.38163976269748e-07,2.0812203456374703e-06,7.830141971008203e-17,1.2040415790694536e-05,2.1639688251534826e-06,9.87644696554105e-06,0.0,9.46718283338362e-06,1.7976008935475216e-06,7.669581939836098e-06,0.0
0.0,1.0,512,128,training_support,fixed_3000_ablation,30,5.9949921191578896e-06,1.6653938057805683e-05,19.502873904707506,5.632707356906021e-06,3.622847622518616e-07,5.558599319878379e-34,2.981555974335137e-19,4.257474628399649e-08,1.399285313737527e-06,3.9205744270982594e-05,8.650251544306155e-07,3.410729707330889e-05,1.560352062603883e-07,2.0624955599147325e-07,5.342601593069114e-07,5.098447197673706e-06,7.458887430226643e-17,4.096731434697198e-05,1.5553205199979206e-06,3.941199382697407e-05,0.006944444444444444,3.4972322227814096e-05,8.650251544325582e-07,3.410729707338153e-05,0.0
0.0,1.0,512,128,initial_state_interpolation,original_early_stop,30,3.128974565968071e-06,2.9712484819218395e-06,21.13493789907296,3.0841641973726776e-06,4.481036859534946e-08,7.092909402974666e-33,7.148958074826295e-19,5.1775220999417115e-08,2.554086759177296e-06,8.981741843280396e-06,1.586548730976768e-06,6.865115674019997e-06,2.7263802346887128e-08,1.754656624846233e-08,9.67538028200528e-07,2.116626169260399e-06,8.820535244585294e-17,1.1580638971053029e-05,2.5813505615241737e-06,8.99928840952885e-06,0.0,8.451664405084958e-06,1.5865487309783147e-06,6.865115674106643e-06,0.0
0.0,1.0,512,128,initial_state_interpolation,fixed_3000_ablation,30,5.62809662832068e-06,1.6471128881945208e-05,19.748774464026926,5.58018925659999e-06,4.7907371720752275e-08,7.092909402974666e-33,2.358139725155972e-18,5.8089272336747655e-08,1.5370519183877816e-06,3.830349933386501e-05,6.927015723295924e-07,3.3567660423238163e-05,1.8418807735134395e-08,2.948856398561788e-08,8.443503460581891e-07,4.735838910626846e-06,8.510817647421759e-17,3.988845862397351e-05,1.5554707261229185e-06,3.83329878978506e-05,0.0067708333333333336,3.4260361995652835e-05,6.927015723330986e-07,3.3567660423319736e-05,0.0
0.04,0.0,32,8,training_support,original_early_stop,30,9.701651109811067e-07,2.681612124324271e-06,18.85912153341017,1.1926697180509567e-06,2.753713078041089e-07,4.978753391807393e-07,8.587375383211953e-12,4.7683715781454694e-08,9.467570273909976e-07,6.0208598428998565e-06,1.6166410962981335e-06,4.158306055864967e-06,8.665555766855763e-08,1.887157501355513e-07,-6.698840689071359e-07,1.8625537870348892e-06,5.757700161271144e-13,7.242988178094966e-06,1.0334125850595559e-06,6.20957559303541e-06,0.0,6.272823067113861e-06,2.1145170111740486e-06,4.158306055939812e-06,0.0
0.04,0.0,32,8,training_support,fixed_3000_ablation,30,1.7007086112140855e-06,6.977224413526179e-06,21.789750513100802,1.923218466178414e-06,2.7536632708956963e-07,4.978753391807393e-07,1.0181582392305663e-11,4.7683715781454694e-08,8.291245154627429e-07,1.302453052378948e-05,7.160003991904043e-07,1.1214436173806659e-05,4.9360008727689257e-08,2.2600631836188043e-07,1.1312411627233861e-07,1.8100943499828212e-06,8.429499041296416e-13,1.41290213663418e-05,8.784845241904345e-07,1.3250536842151362e-05,0.0005208333333333333,1.2428312755127713e-05,1.2138765812473067e-06,1.1214436173880403e-05,0.0
0.04,0.0,32,8,initial_state_interpolation,original_early_stop,30,1.513729875550006e-06,2.9561197497838103e-06,20.660494762082163,1.5443739130479687e-06,3.530330516412392e-08,6.594736391283013e-08,3.849725230336773e-12,5.2785469217830894e-08,1.0747995429269517e-06,5.940485816261334e-06,1.618859068542377e-06,3.852052377509906e-06,9.919613135533407e-09,2.538369202859052e-08,-5.440595256154254e-07,2.088433438751428e-06,2.116270970550988e-14,7.050588664352395e-06,1.0847191560624778e-06,5.965869508289918e-06,0.0,5.536858788802389e-06,1.6848064112063984e-06,3.852052377595991e-06,0.0
0.04,0.0,32,8,initial_state_interpolation,fixed_3000_ablation,30,1.816739188502883e-06,7.099112235732902e-06,19.945092880106955,1.8459612948695092e-06,3.672538472760873e-08,6.594736391283013e-08,2.9805333006359402e-12,5.025984867179645e-08,7.265125762379803e-07,1.3125907598300713e-05,1.01908087031135e-06,1.0987378009267088e-05,5.153531263954018e-09,3.157185346365471e-08,-2.925682940733697e-07,2.1385295890336243e-06,1.2727215013494126e-13,1.3889145559266285e-05,7.316661075019336e-07,1.3157479451764351e-05,0.0005208333333333333,1.2072406370763402e-05,1.0850283614090066e-06,1.09873780093544e-05,0.0
